rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.018002	-0.205718	0.000000	0.000000	-0.097112	0.000000	-0.022354	-0.019891
2	AG111	-0.008482	-0.298661	0.000000	0.000000	-0.070322	0.000000	-0.033511	0.048047
3	AG111	0.010784	-0.328060	0.000000	0.000000	-0.183914	0.000000	-0.058202	-0.002819
4	AG111	-0.027854	-0.254808	0.000000	0.000000	-0.090938	0.000000	0.031477	0.000940
5	AG111	0.014647	-0.063498	0.000000	0.000000	0.078609	0.000000	-0.012700	0.014160
6	AG111	-0.008765	-0.344118	0.000000	0.000000	-0.181503	0.000000	0.000530	0.014178
7	AG111	0.008537	-0.330224	0.000000	0.000000	-0.014274	0.000000	-0.001008	0.032333
8	AG111	-0.007615	-0.087961	0.000000	0.000000	-0.179353	0.000000	-0.022377	-0.030545
9	AG111	-0.013889	-0.209025	0.000000	0.000000	-0.169716	0.000000	0.015465	0.020094
10	AG111	-0.002768	-0.358532	0.000000	0.000000	-0.116807	0.000000	-0.022818	-0.005513
1	AG112	0.158693	0.334577	0.000000	0.000000	-0.255802	0.000000	-0.018577	0.001209
2	AG112	0.158798	0.244612	0.000000	0.000000	-0.220162	0.000000	-0.001569	-0.019928
3	AG112	0.166759	0.089091	0.000000	0.000000	-0.270141	0.000000	-0.019855	-0.010810
4	AG112	0.131783	0.110545	0.000000	0.000000	-0.201990	0.000000	-0.006804	0.020071
5	AG112	0.160990	-0.290585	0.000000	0.000000	-0.310359	0.000000	-0.010051	0.026117
6	AG112	0.087369	0.336998	0.000000	0.000000	-0.259552	0.000000	0.005708	-0.004213
7	AG112	0.141279	0.308501	0.000000	0.000000	-0.197148	0.000000	0.005744	0.024154
8	AG112	0.157029	0.097952	0.000000	0.000000	-0.195222	0.000000	-0.009860	0.018095
