rhoS_pop	1.00000	nan	nan	-0.26673	0.03789	0.01973	0.03653	-0.01271	-0.06223	0.09870	0.01910	-0.02743	-0.01243
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
S0_pop	-0.26673	nan	nan	1.00000	-0.27056	-0.09592	-0.04820	0.07337	0.29201	-0.43428	-0.15487	0.11582	0.01202
T0_pop	0.03789	nan	nan	-0.27056	1.00000	0.07315	-0.08823	-0.06802	-0.32564	0.70654	0.04034	-0.28018	0.06391
omega_rhoS	0.01973	nan	nan	-0.09592	0.07315	1.00000	-0.01185	-0.04502	-0.05439	0.07984	0.01128	-0.03516	0.01076
omega_deltaSC	0.03653	nan	nan	-0.04820	-0.08823	-0.01185	1.00000	0.02372	0.14885	-0.03252	0.01565	0.07078	-0.37529
omega_deltaCB	-0.01271	nan	nan	0.07337	-0.06802	-0.04502	0.02372	1.00000	0.00938	-0.11202	0.00220	0.01695	-0.10792
omega_S0	-0.06223	nan	nan	0.29201	-0.32564	-0.05439	0.14885	0.00938	1.00000	-0.22310	-0.04227	0.14637	-0.06349
omega_T0	0.09870	nan	nan	-0.43428	0.70654	0.07984	-0.03252	-0.11202	-0.22310	1.00000	0.05252	-0.21528	0.06326
b1	0.01910	nan	nan	-0.15487	0.04034	0.01128	0.01565	0.00220	-0.04227	0.05252	1.00000	-0.01107	-0.00856
b2	-0.02743	nan	nan	0.11582	-0.28018	-0.03516	0.07078	0.01695	0.14637	-0.21528	-0.01107	1.00000	-0.03013
b3	-0.01243	nan	nan	0.01202	0.06391	0.01076	-0.37529	-0.10792	-0.06349	0.06326	-0.00856	-0.03013	1.00000
