rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	0.679166	-0.091928	3.174477	0.000000	0.017676	-0.220370	23481.932623	24697.403388
2	AG111	0.602437	-0.502271	3.174477	0.000000	-0.178694	-0.220370	23361.485542	23951.763500
3	AG111	0.575952	-0.086968	3.174477	0.000000	-0.137574	-0.220370	23796.585051	24206.405130
4	AG111	0.598534	-0.018268	3.174477	0.000000	-0.137423	-0.220370	22810.432204	25015.403931
5	AG111	0.603705	-0.580920	3.174477	0.000000	-0.227075	-0.220370	23560.321924	24898.826085
6	AG111	0.619581	-0.403927	3.174477	0.000000	-0.141960	-0.220370	23075.987243	25050.036698
7	AG111	0.614480	-0.330809	3.174477	0.000000	-0.165463	-0.220370	23333.494483	24300.925961
8	AG111	0.618068	-0.160052	3.174477	0.000000	-0.155034	-0.220370	23023.620282	24475.541911
9	AG111	0.620913	-0.277044	3.174477	0.000000	-0.168104	-0.220370	23255.668636	23599.106816
10	AG111	0.630292	-0.634499	3.174477	0.000000	-0.140863	-0.220370	23358.325134	23884.359549
1	AG112	0.787863	0.304582	3.174477	0.000000	-0.189429	-0.220370	23884.111557	23794.315917
2	AG112	0.780315	0.755854	3.174477	0.000000	-0.199887	-0.220370	23410.258938	24727.602478
3	AG112	0.731673	0.148641	3.174477	0.000000	-0.224771	-0.220370	23397.116815	24216.490895
4	AG112	0.799278	0.257396	3.174477	0.000000	-0.215039	-0.220370	23357.992229	23837.129377
5	AG112	0.757966	0.066687	3.174477	0.000000	-0.193075	-0.220370	23136.714244	24246.523607
6	AG112	0.737181	0.290158	3.174477	0.000000	-0.251467	-0.220370	23415.643069	24821.541783
7	AG112	0.752568	0.462898	3.174477	0.000000	-0.200619	-0.220370	23411.277100	25607.480484
8	AG112	0.774411	-0.136360	3.174477	0.000000	-0.293954	-0.220370	23362.905501	24389.826051
9	AG112	0.790729	0.144661	3.174477	0.000000	-0.249738	-0.220370	22793.293509	24325.604639
10	AG112	0.811539	0.386852	3.174477	0.000000	-0.209236	-0.220370	23255.521256	25166.279750
1	AG139	0.549597	0.374965	3.174477	0.000000	-0.167545	-0.220370	23691.986340	25037.043426
2	AG139	0.603116	0.242885	3.174477	0.000000	-0.133493	-0.220370	23152.141039	24694.338970
3	AG139	0.631542	0.064691	3.174477	0.000000	-0.139626	-0.220370	23618.667929	24944.349350
4	AG139	0.584442	0.412151	3.174477	0.000000	-0.208109	-0.220370	23147.331289	24769.947254
5	AG139	0.605173	-0.089200	3.174477	0.000000	-0.161117	-0.220370	23480.528849	24775.397393
6	AG139	0.590463	0.443096	3.174477	0.000000	-0.167549	-0.220370	23478.064323	23687.747069
7	AG139	0.610747	0.092510	3.174477	0.000000	-0.132360	-0.220370	23216.006311	25289.480814
8	AG139	0.577110	0.012389	3.174477	0.000000	-0.147565	-0.220370	23506.016321	26206.335612
9	AG139	0.636592	0.214420	3.174477	0.000000	-0.150947	-0.220370	23451.944326	24475.443854
