rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0
1	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5162243956.741047	1112633.577963
2	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5131059753.336561	1282029.748693
3	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6707425733.405189	2445681.346357
4	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3630017463.768990	1072152.830501
5	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4393507221.886457	2129158.455788
6	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5792356745.451841	1603543.883148
7	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6121467975.032133	1563352.417475
8	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4063868517.503158	1736332.493133
9	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6030186606.522061	2073296.642975
10	AG111	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3895469347.271623	1778209.475136
1	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5075902262.052157	2467387.736274
2	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4128860179.033510	2184279.330283
3	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5300169230.930169	2295589.587995
4	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6275274420.816446	2977402.852032
5	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	9020337016.288441	2803402.888574
6	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5300149730.787586	2545837.521113
7	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5055281205.747762	3209233.048086
8	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	7203162455.082947	2346362.217048
9	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	7115517836.102036	2460206.366937
10	AG112	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6669887994.894567	2411961.179332
1	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5251666632.170674	1672220.038662
2	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4135126602.241233	1503330.454441
3	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3664450061.456520	1576081.312897
4	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3901330010.968495	1542113.693112
5	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5163477991.124802	1888347.685443
6	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4640384520.429810	1822210.007590
7	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5756544399.206174	1452207.449076
8	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4478001664.730867	1865610.757941
9	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4622304459.445131	1486861.705447
10	AG139	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4597282940.155396	1509084.447935
1	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5700422608.859897	3354698.849279
2	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	8129335069.684422	2450863.085554
3	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6791274493.534626	2325148.003557
4	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	7654374913.510285	2754026.199058
5	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6114894970.328279	2819038.767827
6	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5874418610.835335	2618200.491570
7	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6652844095.020454	2365586.076882
8	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6792645002.709500	2468391.532908
9	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6742419511.729644	1527545.369154
10	AG142	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	7221244389.917960	2576691.810110
1	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6824170453.912321	4276635.149518
2	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5323795432.454080	3171827.417273
3	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5161006556.429889	2719486.490065
4	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5396742862.179030	2529831.122699
5	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4603871549.049939	2587929.689678
6	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	7370098624.472419	4993734.953434
7	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5367381295.854946	2731979.233758
8	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4305399377.709937	2565993.790685
9	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6576497889.064949	2465535.113800
10	GD14	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5853477138.939807	3116403.664698
1	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5947373195.732794	1751528.208791
2	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4093707608.330405	2568983.329844
3	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5443519042.716713	1771664.348532
4	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5943382008.151115	2059930.009347
5	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3392921423.541405	1517662.191298
6	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	5129097232.697390	2546646.419213
7	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4916257011.700774	1899668.083788
8	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4852476698.073012	1743610.123924
9	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6943455466.327243	1974003.675040
10	GD15	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	6157701895.922009	1817783.311889
1	GD16	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	4427021944.176301	1471480.956450
2	GD16	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3326925813.522474	1482027.317735
3	GD16	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	2190778979.582043	1282000.625077
4	GD16	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3453754366.610323	1271066.217341
5	GD16	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3964566941.015108	2146215.924950
6	GD16	-2.823986	0.000000	3.199325	0.000000	0.000000	-2.008422	3397554829.685990	943429.522258
