rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.180546	-0.231663
2	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027099	-0.281176
3	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.128448	-0.179176
4	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.100211	-0.106930
5	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.041771	-0.165795
6	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.151120	-0.027923
7	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023828	-0.024984
8	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049193	-0.175950
9	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.137207	-0.001713
10	AG111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006754	-0.110536
1	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.143105	0.086030
2	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.206078	0.271658
3	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.156656	0.238135
4	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.275423	0.258782
5	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.247206	0.120581
6	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.123184	0.201421
7	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.283821	0.165086
8	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.211747	0.240633
9	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.045637	0.348089
10	AG112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134965	0.288406
1	AG139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053870	0.027100
