Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
S0_pop	4180512.554759	13228112.344196	23282.303203	18465.069655	23473.659282	133536902204.080017	434959481.517284	130600.758179	23491.778909	23703.925338	5035329790.264058	124135.553326	142549.036352	23115.921957	39233564.252231	8364.728856	9471.825848	176834826464.497375	23631.199564	173953977.601711	23207.323646	12059335.31524	20226.573908	23489.099502	22405.135212	23167.870188	23475.220052	26874.689817	19041.481816	136008.146723	23274.187949	23416.271729	23390.106672	23354.061897	23215.279538	23327.570125	23323.080533	31049.736967	339377045.629595	23430.293112	69804.766027	23420.285512	23568.70506	13011.517972	23502.187821	23336.66574	23320.199513	23427.432179	23489.33985	23214.705892
T0_pop	303471.307431	55038.820944	24941.626341	32798.207013	46695.469599	209605.956079	87949.643882	92107.687067	25172.586483	25242.312544	2075042.187206	8776.794028	19380.459887	26009.064546	134495.530464	12896.324457	15022.226973	370053.748101	25079.830224	20843.733283	25574.555804	153279.163118	24547.344002	25244.515403	30770.077476	25128.015594	24932.738161	24943.874134	24453.462988	94125.915954	25152.849237	24800.478331	25262.001763	25306.363344	26171.532426	25279.459353	25255.112988	24975.152613	491430.902379	25242.79741	110646.837717	25116.100431	25213.614917	16894.12345	25019.18866	25289.200908	25073.922408	25183.655211	25206.683609	25135.229553
b1	1.707639	1.726881	0.2460629	0.3234133	0.2443222	2.025647	1.86546	0.915387	0.2439481	0.2431582	2.038841	0.8871741	0.9324964	0.2465373	1.753975	1.064417	0.9203254	1.814955	0.2435488	2.028783	0.2463125	1.637834	0.2817289	0.2442962	0.2510327	0.2457581	0.2444597	0.2537073	0.3136359	0.9208096	0.2448413	0.2448699	0.2444051	0.2448982	0.2457856	0.2446844	0.2452074	0.2972704	2.007928	0.2444273	0.6515497	0.2442301	0.2439369	0.5557111	0.2440594	0.2450139	0.2449016	0.2446328	0.2443284	0.2453788
b2	0.8218102	0.4279369	0.2186665	0.2763353	0.3799231	0.581733	0.5473075	0.5643008	0.2182503	0.217905	1.071802	2.146836	0.6098656	0.2184818	0.6081375	0.654545	0.464124	0.6722575	0.2184386	1.027489	0.2202615	0.7077704	0.2226847	0.2180529	0.2474801	0.2182737	0.2188731	0.2380506	0.2209005	0.5753057	0.2180178	0.219162	0.2178396	0.2177316	0.2182184	0.2179627	0.2178736	0.2483844	0.9409634	0.2181848	0.6440584	0.2183675	0.2178112	0.3841766	0.2186963	0.2179111	0.2184014	0.2182179	0.2182018	0.2180183
b3	1.046766	0.321996	0.3330339	0.7208933	23214.254695	1.769817	0.3784427	0.6724234	0.3305752	0.3294612	1.294568	2.795633	0.623096	0.3373593	7.88879	0.6918058	0.5180798	2.583602	0.3307979	0.6829253	0.3393198	0.60794	0.3275507	0.3297559	0.3798631	0.331914	0.3327852	0.3338069	0.3306591	0.7605119	0.3309414	0.3337477	0.3304647	0.3298285	0.3346013	0.3305078	0.3305642	0.3443434	0.8706417	0.330244	0.9564397	0.3316821	0.3303829	0.3985319	0.3319517	0.3303597	0.3319175	0.3299891	0.3298984	0.3309389
eta_deltaCB_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_deltaSC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_rhoC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omega_S0	0.2416671	0.2358807	0.1777879	0.07280705	0.1820935	0.279561	0.2405566	0.3103091	0.1823221	0.1860132	0.2673966	0.3050889	0.3145214	0.1754855	0.2532775	0.03577858	0.04086305	0.261224	0.1844861	0.2725574	0.1788146	0.2642899	0.1138912	0.1817867	0.1630456	0.1763504	0.1825283	0.2281109	0.05731755	0.2989926	0.1779675	0.1809571	0.1784271	0.1799917	0.1762342	0.1817097	0.1785934	0.2655393	0.2609612	0.1812001	0.3276651	0.1823853	0.1839474	0.0233644	0.1844308	0.1803751	0.1782334	0.1804284	0.1837843	0.1778729
omega_T0	0.3165077	0.2362404	0.192096	0.2439806	0.2431542	0.2856954	0.2401845	0.3074961	0.1947125	0.1958191	0.3186729	0.00000001914065	0.04243596	0.199023	0.2788024	0.05761372	0.05970626	0.2848321	0.1932946	0.1271577	0.1896474	0.310769	0.2054105	0.1954995	0.2294729	0.1946531	0.1934025	0.2169412	0.2017959	0.3069237	0.1934758	0.1909974	0.1960544	0.1964236	0.2012697	0.1952339	0.1953136	0.2223494	0.2908021	0.1953701	0.3181337	0.1947054	0.1943595	0.1458993	0.1946673	0.196552	0.1928937	0.1939938	0.1935631	0.1948972
rhoB_pop	-1.306176	0.5476972	0.2308614	-0.8046133	-14677.819519	-0.6967828	0.4905397	-0.6508623	0.2259489	0.2270099	-2.008422	1.662228	1.194777	0.2452012	-2.759556	-0.7656135	0.06569527	-2.147361	0.2318902	1.602422	0.26586	-0.1650778	-0.01233643	0.223467	-0.004745979	0.221782	0.2343275	-0.07885489	0.003844456	-0.7452543	0.2231541	0.2388611	0.2210278	0.2195869	0.2378983	0.2202565	0.220284	-0.1120072	-0.6247449	0.2225768	-0.9136652	0.2265395	0.2261354	0.1759627	0.2310593	0.2197071	0.2264567	0.2246565	0.2258092	0.2228052
rhoC_pop	2.137311	1.63871	3.1845	2.645192	0.0008616325	0.7796155	3.109659	1.726358	3.142278	3.178324	3.199325	0.5900729	0.9622928	2.133257	0.6651584	5.695048	1.890931	1.06558	3.237402	1.080442	2.160444	2.527178	1.68732	3.106502	1.856295	3.063206	3.265935	1.904724	1.634484	1.599029	3.083161	3.313788	3.059088	3.0445	2.14393	3.047331	3.051792	2.013064	3.053637	3.084377	6.185324	3.150395	3.148967	5.849246	3.214219	3.047424	3.134254	3.113371	3.136603	3.072904
rhoS_pop	-1.012836	-1.30095	0.6469716	0.7805719	0.6436717	-3.641496	-2.189488	-0.02084781	0.6435149	0.6401902	-2.823986	-0.001300848	-0.04486984	0.6505363	-1.5764	1.474287	1.374414	-3.682285	0.6412035	-1.984018	0.6487684	-1.266949	0.7264363	0.6438167	0.6688138	0.648925	0.6435258	0.5762367	0.7667747	-0.03059217	0.6472591	0.6443844	0.6456273	0.6458773	0.6491704	0.6460307	0.6465664	0.5088807	-2.147035	0.6447332	0.1945508	0.644586	0.6423999	0.9990845	0.6431475	0.6460809	0.6465141	0.6448532	0.6433114	0.6481421
-2LL	2272.42	2167.45	1800.83	1861.62	1916.87	2607.16	2316.73	2043.57	1800.65	1800.69	2635.68	2096.61	2015.85	1801.45	2310.34	2090.02	2018.52	2638.57	1800.72	2375.31	1801.48	2280.84	1808.83	1800.63	1815.6	1800.7	1800.9	1815.87	1813.75	2048.4	1800.65	1800.87	1800.62	1800.7	1801.36	1800.65	1800.67	1833.73	2482.67	1800.65	2057.05	1800.7	1800.66	1912.75	1800.82	1800.64	1800.7	1800.62	1800.63	1800.65
