rep	id	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	AG111	-0.013178	0.066394	-0.064541	-0.029783	-0.193354
2	AG111	0.025090	-0.039764	-0.182462	-0.013527	-0.272340
3	AG111	-0.027306	-0.595041	-0.308627	-0.020751	0.099362
4	AG111	-0.010765	-0.284134	-0.006412	0.022348	-0.221642
5	AG111	-0.006708	-0.404072	0.151835	0.045879	-0.037573
6	AG111	0.007738	-0.307881	0.167078	-0.032654	-0.176456
7	AG111	-0.035247	-0.154631	0.042237	0.029318	-0.166024
8	AG111	-0.019825	-0.160332	0.022716	0.021495	-0.058530
9	AG111	-0.002130	-0.272340	-0.050536	-0.007039	-0.078067
10	AG111	-0.014551	-0.264065	-0.039875	-0.015534	-0.005537
1	AG112	0.183170	-0.095315	0.115949	-0.005279	0.058404
2	AG112	0.128664	-0.184483	-0.113960	-0.032346	0.138948
3	AG112	0.156950	0.372584	0.203026	-0.024341	-0.142163
4	AG112	0.142221	0.013811	0.000727	-0.013194	0.082194
5	AG112	0.139776	0.091361	-0.010024	-0.006390	0.042819
6	AG112	0.124802	0.074729	-0.124050	-0.006067	0.094709
7	AG112	0.125736	0.048924	0.007445	0.026667	0.227300
8	AG112	0.131235	0.140040	-0.145588	0.000236	0.065147
9	AG112	0.162519	0.157338	0.021286	-0.005888	-0.024680
10	AG112	0.195615	0.117751	-0.098628	-0.014256	0.067397
1	AG139	-0.072728	0.282511	-0.069297	-0.009833	-0.043702
2	AG139	-0.050847	0.236803	0.016131	0.014526	-0.014708
3	AG139	-0.050293	0.208870	0.088071	0.006586	0.064108
4	AG139	-0.031667	0.002106	-0.288176	-0.001876	0.168572
5	AG139	-0.002205	-0.146853	0.039050	0.023436	-0.144598
6	AG139	-0.026875	0.192336	0.015570	0.037413	0.018171
7	AG139	-0.008640	0.011649	0.000197	0.010693	-0.089541
8	AG139	-0.087873	-0.387465	0.323814	-0.017286	0.014057
9	AG139	-0.071387	0.295689	0.068434	-0.009194	-0.194711
10	AG139	-0.048327	0.145810	-0.068334	0.023274	-0.061964
1	AG142	0.124279	0.240640	-0.075249	0.005939	0.099805
2	AG142	0.129383	-0.022370	0.212657	0.010491	0.005735
3	AG142	0.162406	0.349592	-0.214439	-0.006088	0.021133
4	AG142	0.133864	0.474972	0.019516	-0.038420	-0.268264
5	AG142	0.114081	0.094928	-0.021909	-0.006141	0.021271
6	AG142	0.146961	0.115863	-0.125272	0.002902	-0.039243
7	AG142	0.075494	0.139595	0.378655	-0.026522	-0.217180
8	AG142	0.078408	0.276269	-0.053352	-0.003442	0.112523
9	AG142	0.135403	0.365710	-0.033045	-0.049079	-0.170459
10	AG142	0.112248	0.493965	0.131288	0.008384	-0.128654
1	GD14	0.039649	0.285008	-0.148610	-0.003367	0.178246
2	GD14	0.036614	-0.133801	0.210624	-0.030472	0.137498
3	GD14	0.018335	0.044239	0.180262	0.014303	0.136217
4	GD14	0.046878	-0.313767	0.228442	-0.033248	0.249523
5	GD14	-0.000723	-0.080924	0.148993	0.013061	0.247116
6	GD14	0.007742	0.060124	0.143934	0.009933	0.112617
7	GD14	0.009780	0.018197	-0.030357	-0.028042	0.317034
8	GD14	0.031185	0.168538	0.187600	0.013034	0.061751
9	GD14	-0.018738	0.061947	0.126811	-0.025763	0.190701
10	GD14	0.005540	0.275627	-0.122856	0.032661	0.219012
1	GD15	-0.025025	-0.055407	-0.121064	0.002676	0.033233
2	GD15	-0.035006	0.214920	-0.355100	0.015411	-0.034351
3	GD15	-0.028994	-0.065490	-0.058310	0.035196	-0.054979
4	GD15	-0.022631	-0.276638	-0.134818	0.033695	0.030943
5	GD15	0.013712	-0.146831	-0.150390	-0.000310	-0.010876
6	GD15	0.006629	-0.299190	-0.055472	-0.029748	0.042891
7	GD15	-0.047897	0.192900	-0.035152	-0.008771	-0.056371
8	GD15	-0.014746	-0.110308	-0.206271	-0.023234	-0.073844
9	GD15	-0.002999	0.026631	-0.160051	-0.000133	-0.065371
10	GD15	-0.013925	0.070526	0.242646	0.022046	-0.020362
1	GD16	-0.233577	0.076775	0.077088	0.029789	-0.128123
2	GD16	-0.191197	0.027735	0.211863	-0.007451	-0.246459
3	GD16	-0.265370	-0.216395	0.427823	-0.039292	-0.135974
4	GD16	-0.221664	0.000190	-0.163091	0.008920	-0.185642
5	GD16	-0.179145	0.303899	-0.200733	0.027236	-0.084497
6	GD16	-0.241368	-0.100990	-0.122352	-0.006256	0.072765
7	GD16	-0.229492	-0.139909	0.314898	-0.021224	-0.159448
8	GD16	-0.240837	-0.313280	-0.211328	-0.013143	0.068255
9	GD16	-0.242090	-0.151178	0.129751	0.016215	0.000543
10	GD16	-0.209509	0.146147	-0.289585	-0.015475	-0.151019
