parameter	value	se_sa	rse_sa
rhoS_pop	0.61284136437480241	0.04631574971788073	7.55754301361989711
deltaSC_pop	0.37384147246961547	0.07518543050229667	20.11158098795672799
rhoC_pop	3.65241280238553445	0.34877330956191988	9.54912077118233427
deltaCB_pop	4.21138390067209212	0.60844773384865969	14.44769102507035541
rhoB_pop	0.22978757575865380	0.09144884597044632	39.79712378640312664
omega_rhoS	0.11852291993196833	0.03357255929888717	28.32579497548464786
omega_deltaSC	0.24045925012858563	0.17445756079471542	72.55181936291667455
omega_rhoC	0.08309765634799986	0.23180758466214105	278.95802944353505382
omega_deltaCB	0.07613370044525862	0.04253375157711505	55.86718014277726496
omega_rhoB	0.04545989547517409	nan	nan
b1	0.16397353107517842	0.02162776454472677	13.18979008557844246
b2	0.17672196196497378	0.02359430785825069	13.35108981130883521
b3	0.27429651741865124	0.05109438955179044	18.62742918963366634
