rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB
1	AG111	0.663248	0.199731	4.224035	5.256686	0.221723
2	AG111	0.599833	0.287316	4.492251	5.406783	0.151702
3	AG111	0.575674	0.214779	4.443299	5.274253	0.225962
4	AG111	0.605602	0.248575	4.438890	5.182476	0.143688
5	AG111	0.593926	0.199842	4.328239	5.321360	0.221422
6	AG111	0.576246	0.194986	4.436516	5.219596	0.288323
7	AG111	0.558070	0.303770	4.549245	5.160655	0.210913
8	AG111	0.567778	0.294075	4.400991	5.004629	0.178418
9	AG111	0.611831	0.212549	4.360075	5.249061	0.231830
10	AG111	0.622730	0.165709	4.528251	5.289046	0.229377
1	AG112	0.749686	0.295232	4.315347	4.983583	0.210729
2	AG112	0.761040	0.309617	4.434006	5.314331	0.390805
3	AG112	0.735835	0.294197	4.593405	5.180550	0.296614
4	AG112	0.757929	0.451921	4.383758	5.136211	0.262771
5	AG112	0.801390	0.493719	4.317758	5.394588	0.236495
6	AG112	0.755929	0.391123	4.570563	5.175122	0.249579
7	AG112	0.719524	0.317272	4.517073	5.334568	0.386240
8	AG112	0.760178	0.402388	4.571338	5.067483	0.139420
9	AG112	0.699761	0.334480	4.306779	5.110684	0.295891
10	AG112	0.747802	0.302820	4.576174	5.342335	0.323397
1	AG139	0.541778	0.320688	4.454473	5.440773	0.213969
2	AG139	0.573392	0.273150	4.547238	5.217982	0.336413
3	AG139	0.560345	0.383444	4.413295	5.251524	0.314477
4	AG139	0.550675	0.311384	4.414083	4.988030	0.232501
5	AG139	0.534802	0.383048	4.332920	5.469237	0.292014
6	AG139	0.612988	0.391760	4.497846	5.190648	0.107029
7	AG139	0.613607	0.233665	4.416246	5.166347	0.278986
8	AG139	0.562398	0.376734	4.426197	5.105390	0.037595
9	AG139	0.545949	0.276613	4.354136	4.988310	0.332049
10	AG139	0.523664	0.345588	4.433005	5.052875	0.140241
1	AG142	0.763132	0.426383	4.436016	5.215393	0.243786
2	AG142	0.750641	0.398964	4.319227	5.190025	0.242401
3	AG142	0.766870	0.512464	4.386543	5.375027	0.233092
4	AG142	0.745315	0.406671	4.493205	5.350544	0.299960
5	AG142	0.802551	0.443179	4.424701	5.664197	0.239529
6	AG142	0.740864	0.401592	4.422823	5.010458	0.158527
7	AG142	0.735307	0.499281	4.584697	5.039798	0.131820
8	AG142	0.739607	0.480211	4.547133	5.267039	0.155144
9	AG142	0.789086	0.509886	4.254440	5.149454	0.108653
10	AG142	0.748204	0.503407	4.352994	5.468602	0.173688
1	GD14	0.594151	0.339093	4.485077	5.044840	0.381258
2	GD14	0.585407	0.265811	4.402357	5.311067	0.466920
3	GD14	0.641875	0.389748	4.535607	4.909386	0.221708
4	GD14	0.620286	0.358227	4.452606	5.448674	0.410774
5	GD14	0.578059	0.368522	4.639858	5.251087	0.325727
6	GD14	0.601752	0.359919	4.556119	5.192484	0.303606
7	GD14	0.670955	0.361872	4.426177	5.136964	0.395123
8	GD14	0.625061	0.198602	4.509204	5.147127	0.521174
9	GD14	0.670869	0.321997	4.447562	5.181805	0.377999
10	GD14	0.645220	0.269769	4.528571	5.244654	0.450221
1	GD15	0.597496	0.298691	4.414039	5.051732	0.206543
2	GD15	0.626291	0.345985	4.221568	5.203755	0.104035
3	GD15	0.636264	0.303484	4.313113	5.446127	0.262144
4	GD15	0.600427	0.283865	4.314576	5.450107	0.356081
5	GD15	0.606064	0.246203	4.407613	4.946541	0.072843
6	GD15	0.566821	0.285576	4.463570	5.054672	0.213777
7	GD15	0.639268	0.337539	4.473002	4.932543	0.019753
8	GD15	0.597236	0.268430	4.489389	5.147672	0.190676
9	GD15	0.637078	0.299893	4.397207	5.028274	0.119729
10	GD15	0.595263	0.267317	4.400130	5.183804	0.333906
1	GD16	0.430468	0.282439	4.364895	5.232993	0.226106
2	GD16	0.421559	0.378393	4.129064	5.243986	0.191894
3	GD16	0.351641	0.292668	4.473188	5.073074	0.046860
4	GD16	0.379149	0.276335	4.447268	5.296639	0.104631
5	GD16	0.377404	0.391483	4.415768	5.163487	0.140438
6	GD16	0.396530	0.303415	4.301924	4.996142	0.085402
7	GD16	0.356326	0.335172	4.389462	5.201929	0.193305
8	GD16	0.387791	0.346895	4.242304	5.109810	0.102849
9	GD16	0.394169	0.315905	4.299629	5.053233	0.167726
10	GD16	0.381165	0.232202	4.521352	4.942160	0.176771
