rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
1	1	0.61805572655657948	0.19219373741368537	8.08258045676366166	9.69321942813811788	0.08784703263559152	0.00729898553625374	-0.15544482380740221	0.10790343594781060	-0.01973873942405380	-0.19765245868508613
2	1	0.61458482438536222	0.17273418859659623	7.89526860637918038	9.84857727524589244	0.21824243498130358	0.00382808336503648	-0.26219480531896444	-0.07940841443667068	-0.00383834678204309	-0.06725705633937407
3	1	0.60434091677132418	0.23746617966955810	7.97173965588381073	9.87016315336132699	0.13205690404985848	-0.00641582424900156	0.05607647582629238	-0.00293736493204033	-0.00164896893450539	-0.15344258727081916
4	1	0.58953371214132855	0.20180846694799950	8.19650852617221126	9.82519311762807668	0.04707896844509427	-0.02122302887899719	-0.10662967195183071	0.22183150535636020	-0.00621553917200401	-0.23842052287558338
5	1	0.55600015577488382	0.21174562347211509	7.86628482034473553	9.94273961509140491	0.27225659153926912	-0.05475658524544191	-0.05856307117099635	-0.10839220047111553	0.00567724542154924	-0.01324289978140852
6	1	0.58323217428975582	0.19971584748709406	8.05484599799964762	9.84157954398279422	0.14891048460950221	-0.02752456673056991	-0.11705314237364139	0.08016897718379656	-0.00454913152814296	-0.13658900671117544
7	1	0.56292697849389184	0.24300790436856551	7.99127441968848551	9.96571670513329444	0.08071625967255537	-0.04782976252643389	0.07914523496018910	0.01659739887263445	0.00798552084726722	-0.20478323164812229
8	1	0.64810799668462482	0.19120078786318989	7.99772774146446075	9.99554966875502515	0.05201808713571329	0.03735125566429909	-0.16062461488483915	0.02305072064860969	0.01097460834053310	-0.23348140418496435
9	1	0.58219597332485795	0.12888754083821879	7.99443232188014896	9.95870182363999312	0.25758060505500235	-0.02856076769546778	-0.55500848842135309	0.01975530106429790	0.00728137163728970	-0.02791888626567529
10	1	0.59233207531317311	0.20742689656190988	7.97873601534013766	9.78115345024605176	0.10719296873472231	-0.01842466570715262	-0.07916976424625299	0.00405899452428660	-0.01070793568203721	-0.17830652258595533
1	2	0.72676473699522592	0.26092527255923215	8.01524031315765662	9.96452903567747406	0.32046179859138485	0.11600799597490019	0.15028531817695634	0.04056329234180556	0.00786633822677452	0.03496230727070720
2	2	0.72579841113720256	0.28216796278931672	7.92614854379958711	9.92573668879598081	0.31678886935976525	0.11504167011687683	0.22855377024229839	-0.04852847701626395	0.00396569691767201	0.03128937803908760
3	2	0.71104407187388596	0.21702818461942769	8.02718091044036264	10.04543568060050518	0.37302364370496455	0.10028733085356023	-0.03392150797180316	0.05250388962451158	0.01595301773601854	0.08752415238428690
4	2	0.71738188552880655	0.22992787179804997	7.98155819154811574	9.54555303672486666	0.29362397817930636	0.10662514450848082	0.02381692274508507	0.00688117073226469	-0.03508995703338158	0.00812448685862871
5	2	0.74235711154817419	0.24933091786463557	7.72585035938178510	9.90515193954464124	0.28318633916615044	0.13160037052784845	0.10483226543373214	-0.24882666143406595	0.00188966724191619	-0.00231315215452721
6	2	0.75253165821318424	0.23254676544758043	7.81884903321283531	9.88879428633406476	0.45437399111434074	0.14177491719285851	0.03514261039412436	-0.15582798760301575	0.00023687332728883	0.16887449979366309
7	2	0.76898198685287522	0.22657176778249635	7.88765102749201219	9.84388851696450118	0.28145633943747694	0.15822524583254949	0.00911301416980148	-0.08702599332383887	-0.00431454498083328	-0.00404315188320070
8	2	0.75611923748777610	0.28998950701433590	7.97106861324493909	9.89133136027500370	0.32248167386034826	0.14536249646745036	0.25589600349969466	-0.00360840757091196	0.00049340091464378	0.03698218253967062
9	2	0.77335815727850121	0.21046322890273081	7.92678147294825930	9.99383960751279865	0.27874459060938350	0.16260141625817548	-0.06463778280131205	-0.04789554786759176	0.01080351144279756	-0.00675490071129414
10	2	0.73580515102912991	0.26688004718386238	8.01998652393654510	9.82326739587193210	0.36264291423357919	0.12504841000880418	0.17285055985138342	0.04530950312069404	-0.00641155674406635	0.07714342291290155
1	3	0.57734147648253198	0.25412016055789838	7.97907623467265559	9.92929943549772176	0.20665578997274617	-0.03341526453779375	0.12385849210031741	0.00439921385680453	0.00432457279356324	-0.07884370134793148
2	3	0.54345363417850179	0.24919572811872429	7.86581417963365315	9.98479141601986342	0.29831813371354604	-0.06730310684182395	0.10428990826861617	-0.10886284118219791	0.00989772444458836	0.01281864239286840
3	3	0.59451895014053446	0.16622240810503416	7.97377920538684926	9.99827626585082818	0.39940061689247774	-0.01623779087979127	-0.30062203664050169	-0.00089781542900180	0.01124735224873996	0.11390112557180010
4	3	0.57069331215185670	0.25870213284620130	7.81062388053155754	9.78250853523401176	0.38615820628238062	-0.04006342886846903	0.14172859751797495	-0.16405314028429352	-0.01056940487005198	0.10065871496170298
5	3	0.56869209352327488	0.24570600587144750	8.01459971089221135	9.77970846520665482	0.33299954052426950	-0.04206464749705086	0.09018698703259242	0.03992269007636029	-0.01085567815353672	0.04750004920359185
6	3	0.56514147546926408	0.28383939898671784	7.89246820036194840	9.90319946545626806	0.28853940984172965	-0.04561526555106166	0.23445984556507105	-0.08220882045390265	0.00169253078620857	0.00303991852105201
7	3	0.60384788665861422	0.21940130534975943	7.92006818632651655	9.95287466582531088	0.21621207327782047	-0.00690885436171151	-0.02304623865932487	-0.05460883448933451	0.00669606810955337	-0.06928741804285718
8	3	0.58668884835763435	0.23082009554779764	8.13053091392595739	9.80001605340508952	0.18362482019449727	-0.02406789266269138	0.02768986382453220	0.15585389311010633	-0.00878132869463943	-0.10187467112618037
9	3	0.55050227560776077	0.23936546141406154	7.99309393290652181	9.74129180339439849	0.18400971904691013	-0.06025446541256496	0.06404277514534007	0.01841691209067076	-0.01479161492709036	-0.10148977227376751
