Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
b1	0.1637558	0.163972	0.1636395	0.1638236	0.1638587	0.1641466	0.1635857	0.1638106	0.1636795	0.1642155	0.1637272	0.1638758	0.1636418	0.1637454	0.1640796	0.1638513	0.1644706	0.1641534	0.1640525	0.1636903	0.1638264	0.1637336	0.1641216	0.1639298	0.1639162	0.163684	0.1641221	0.1640074	0.1639654	0.1639735	0.1637871	0.1638362	0.1640086	0.1637087	0.1637948	0.1638155	0.1641505	0.1639067	0.1634144	0.1641556	0.1642393	0.1636122	0.1640753	0.1638281	0.1637024	0.1640981	0.1637973	0.1640382	0.1642427	0.1638252
b2	0.1763611	0.1765055	0.1778857	0.1772203	0.1774073	0.176275	0.1766658	0.1769199	0.1789386	0.1778863	0.1769338	0.1768868	0.1780814	0.1786947	0.1763418	0.1761872	0.1765077	0.1769318	0.1767646	0.1798161	0.1774981	0.1759575	0.1766571	0.1806582	0.1779651	0.1782769	0.1775447	0.178034	0.1782576	0.176722	0.1781876	0.1771894	0.1766212	0.177165	0.1764607	0.1761949	0.1768274	0.1771583	0.1782483	0.1755149	0.1761489	0.1772307	0.1766044	0.1782399	0.1800585	0.1764793	0.1771988	0.1776452	0.1772197	0.1772818
b3	0.2788631	0.2890859	0.2897137	0.2774082	0.273671	0.2826123	0.2719407	0.2971618	0.2714965	0.3057963	0.2750671	0.2890036	0.2706131	0.2782813	0.2755483	0.2851876	0.2992374	0.2762941	0.2914834	0.2695729	0.2732976	0.2699937	0.2838127	0.2711816	0.2963892	0.2855785	0.2850052	0.2689794	0.2713818	0.2742965	0.2696718	0.2977339	0.2771584	0.2721621	0.2764331	0.2778978	0.2868546	0.2769419	0.2777303	0.276039	0.293362	0.278385	0.2770557	0.3052379	0.271929	0.293977	0.2801763	0.3037684	0.2945978	0.2746433
deltaCB_pop	6.095536	7.279536	6.700698	5.801292	4.437002	6.803866	4.357115	8.734782	4.408847	11.260137	4.739896	7.367239	4.35398	4.889789	4.369447	4.660784	9.502926	5.263049	8.267092	3.681243	4.337142	4.328813	7.063849	4.4471	9.225087	6.736146	7.253062	3.600171	4.210715	4.211384	3.88457	9.533299	4.811384	3.867456	5.194301	5.677806	7.8418	4.970432	5.262895	5.19932	8.675713	4.724161	5.774249	10.165355	3.722624	7.958889	6.117899	9.886452	9.253349	4.570962
deltaSC_pop	0.291431	0.2683005	0.2906934	0.3038349	0.3591498	0.2735944	0.3621268	0.2509703	0.3608194	0.2163684	0.3475789	0.2632178	0.3646219	0.3409028	0.3641133	0.3511142	0.2203619	0.3161475	0.246904	0.4077613	0.3648228	0.360316	0.2630677	0.3621684	0.2418749	0.286838	0.2636001	0.4176596	0.3728729	0.3738415	0.3925106	0.2313835	0.3394437	0.3996316	0.3258778	0.3039351	0.2525808	0.3304274	0.3279146	0.319184	0.2379994	0.3445985	0.299238	0.2405931	0.4071692	0.2581514	0.2915799	0.2245164	0.2319956	0.3509898
omega_deltaCB	0.02342855	0.01966999	0.03165878	0.01705322	0.03706814	0.02205772	0.03464209	0.01657838	0.0813383	0.01722937	0.03172471	0.02764166	0.02345987	0.04646359	0.07386914	0.04168378	0.02043406	0.05483648	0.01635941	0.08884773	0.06538469	0.01451467	0.04445188	0.05571085	0.02397822	0.03035891	0.04398907	0.06894587	0.07115489	0.0761337	0.05179532	0.0117927	0.05606324	0.03867504	0.02961208	0.02474026	0.02540053	0.03056867	0.02155579	0.02721771	0.01979763	0.04778429	0.02386584	0.01349744	0.0646639	0.01556752	0.0298125	0.008924923	0.01923456	0.06705197
omega_deltaSC	0.2383608	0.1919681	0.1747764	0.2396751	0.2478717	0.2243974	0.2554022	0.1629012	0.2607286	0.1466926	0.2354974	0.2030789	0.2588091	0.229357	0.2382492	0.1723042	0.1755373	0.2535718	0.1989672	0.2699758	0.2495206	0.2613239	0.227811	0.2694039	0.1770576	0.2096825	0.234333	0.2745409	0.2566834	0.2404593	0.2691346	0.1790368	0.2415983	0.2482982	0.2343406	0.2380722	0.2172835	0.2309951	0.2314899	0.2385582	0.1886763	0.2361245	0.2494522	0.127868	0.2564431	0.1740181	0.2309091	0.1485294	0.1998008	0.252051
omega_rhoB	0.131874	0.1343271	0.1254801	0.1357758	0.1080374	0.1308963	0.1327245	0.1282268	0.04894421	0.1272351	0.1319222	0.1280478	0.1380626	0.104012	0.04915365	0.1201839	0.1300324	0.07568392	0.1298641	0.03546105	0.04687892	0.1468203	0.1030887	0.1066201	0.1276773	0.1168853	0.09152424	0.07104275	0.07576876	0.0454599	0.1094184	0.1338775	0.06908095	0.125902	0.124347	0.1334601	0.1321225	0.125354	0.1289664	0.1348203	0.1383313	0.03480526	0.1236113	0.1228336	0.09709368	0.1285226	0.1233227	0.1280537	0.1285886	0.05268776
omega_rhoC	0.08826408	0.1582602	0.09827273	0.09321626	0.1324984	0.1234937	0.06170191	0.06967026	0.09872077	0.1377915	0.07746267	0.05395548	0.0724567	0.08914415	0.07969999	0.07670589	0.09030396	0.1290499	0.105309	0.08730896	0.1346434	0.05992761	0.1389004	0.06212823	0.1304897	0.130988	0.1323879	0.09821026	0.09723262	0.08309766	0.07013366	0.1294705	0.09124068	0.08072123	0.1129634	0.07719483	0.1108024	0.1315714	0.05635015	0.09487302	0.08881279	0.1977637	0.125632	0.1465051	0.08893791	0.1065817	0.1315209	0.1187022	0.1302344	0.09505009
omega_rhoS	0.1183645	0.1177788	0.1180722	0.1183785	0.118654	0.1176256	0.1189839	0.1178461	0.1186835	0.1171292	0.1186135	0.1177717	0.119201	0.1187145	0.1184735	0.1187411	0.1170191	0.1182969	0.1176914	0.1191878	0.118821	0.1187275	0.1174492	0.1187759	0.1173788	0.1181059	0.1174934	0.1191533	0.1186522	0.1185229	0.1190447	0.1174839	0.1187116	0.1190379	0.1182765	0.1185238	0.1174672	0.1183672	0.1188279	0.118015	0.1171707	0.1185253	0.1178689	0.117543	0.1194134	0.1176668	0.118024	0.117743	0.1173358	0.1186349
rhoB_pop	0.2629006	0.2618975	0.2984289	0.2810342	0.242726	0.2586159	0.241898	0.2781614	0.278276	0.2890077	0.2623017	0.2744382	0.2764572	0.2812919	0.2201205	0.2315917	0.2446376	0.2390415	0.2730585	0.2804152	0.2429648	0.2352792	0.2406677	0.3069585	0.301491	0.2994146	0.2604038	0.2378224	0.256307	0.2297876	0.2493439	0.2816235	0.2217271	0.2375881	0.2430682	0.2516139	0.2699863	0.2585251	0.2918861	0.2308401	0.2582308	0.2340417	0.2514604	0.2980904	0.2867978	0.2632572	0.276226	0.2854995	0.2726155	0.2429214
rhoC_pop	5.05409	5.949766	5.369147	4.767221	3.806864	5.613466	3.751494	7.01218	3.714912	9.012137	3.99144	6.005035	3.682209	4.062921	3.787127	3.987203	7.854708	4.459852	6.722897	3.175689	3.72846	3.750373	5.875698	3.68322	7.325805	5.404626	5.961381	3.184129	3.60864	3.652413	3.382472	7.68414	4.13311	3.378693	4.382228	4.752433	6.40232	4.18829	4.318541	4.430944	7.104186	4.038021	4.835059	8.012357	3.192854	6.474978	5.031477	7.974677	7.51018	3.909497
rhoS_pop	0.6123422	0.6122423	0.6128563	0.6131402	0.61324	0.6120311	0.6132312	0.6121599	0.6135305	0.610935	0.6133969	0.6120294	0.6136304	0.6137343	0.612858	0.6126499	0.6106126	0.6123894	0.6118472	0.6137405	0.613156	0.6130712	0.6118196	0.6138963	0.6123424	0.6129975	0.6119982	0.6134185	0.6131623	0.6128414	0.6134458	0.6115883	0.6126568	0.613606	0.6130369	0.6125828	0.6117244	0.6129153	0.6138623	0.6119234	0.611316	0.6128405	0.6123861	0.6121843	0.6139979	0.6121351	0.6128058	0.6107567	0.6115333	0.6128888
-2LL	1761.46	1762.21	1762.17	1761.3	1761.43	1761.8	1761.16	1762.75	1761.34	1763.7	1761.15	1761.89	1761.17	1761.79	1761.27	1761.78	1763.15	1761.54	1762.34	1761.4	1761.27	1761.25	1762.68	1761.8	1763.13	1761.93	1762.52	1761.35	1761.34	1761.23	1761.37	1762.93	1761.59	1761.3	1761.14	1761.33	1762.38	1761.5	1761.25	1761.28	1762.72	1761.69	1761.45	1763.39	1761.79	1762.24	1761.45	1763.1	1762.96	1761.34
