parameter	value	se_sa	rse_sa
rhoS_pop	0.61332036933808021	0.04617618042512989	7.52888420695452520
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.66361473186629372	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.25168051937991592	0.06112804102862136	24.28795092255335319
omega_rhoS	0.11869212429736646	0.03355021325747361	28.26658757359356500
omega_deltaSC	0.24489450256242606	0.21668706374327368	88.48179990812083417
omega_rhoC	0.12062996052517026	0.32522846868186861	269.60836865565210019
omega_deltaCB	0.06229131653185655	0.09603726508185852	154.17440251522677386
omega_rhoB	0.07278972943800541	0.17891243792036562	245.79351963760811373
b1	0.16390677729775258	0.02143859055544352	13.07974624899020455
b2	0.17803906079557294	0.02345365459142322	13.17331965615851885
b3	0.27692226863437613	0.05575845823736325	20.13505757855170231
