rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.590622	-0.059587	3.621797	-0.044704	-0.023216	0.188273
2	AG111	0.585578	-0.560210	3.621797	-0.022620	-0.059345	0.130523
3	AG111	0.578643	-0.688535	3.621797	-0.006021	0.005574	0.247277
4	AG111	0.639127	-0.511280	3.621797	0.090641	0.140779	0.208875
5	AG111	0.648540	-0.170334	3.621797	0.029082	0.042923	0.086731
6	AG111	0.586152	-0.043154	3.621797	-0.000316	-0.011862	0.207832
7	AG111	0.577516	-0.312832	3.621797	0.040101	0.122486	0.266930
8	AG111	0.579083	-0.039412	3.621797	-0.029549	-0.012161	0.133643
9	AG111	0.629591	-0.317514	3.621797	-0.065675	0.117688	0.150529
10	AG111	0.598334	-0.333926	3.621797	0.011496	-0.066713	0.179055
1	AG112	0.760253	0.251988	3.621797	-0.008921	0.004959	0.356994
2	AG112	0.736683	0.158925	3.621797	-0.022219	0.008349	0.314534
3	AG112	0.770386	0.120157	3.621797	0.024227	-0.090779	0.269645
4	AG112	0.725615	0.103675	3.621797	0.002348	-0.054041	0.247248
5	AG112	0.762813	0.017173	3.621797	0.062198	-0.016277	0.209998
6	AG112	0.735139	-0.122119	3.621797	0.020556	-0.113173	0.220803
7	AG112	0.757304	-0.110626	3.621797	0.019072	-0.073523	0.275462
8	AG112	0.747627	0.009307	3.621797	0.047081	-0.051875	0.300113
9	AG112	0.735032	-0.089378	3.621797	0.075940	-0.064479	0.315889
10	AG112	0.772917	0.016684	3.621797	-0.089015	-0.008430	0.261070
1	AG139	0.584617	0.001519	3.621797	0.025780	0.004076	0.323923
2	AG139	0.576467	-0.168818	3.621797	-0.050016	-0.088810	0.190949
3	AG139	0.604610	-0.237227	3.621797	0.001824	-0.038235	0.233043
4	AG139	0.571488	0.224160	3.621797	-0.033140	0.015941	0.154834
5	AG139	0.625783	0.240304	3.621797	-0.098143	0.024383	0.230439
6	AG139	0.551761	-0.229709	3.621797	0.019841	-0.025918	0.260086
7	AG139	0.612754	0.004147	3.621797	-0.066906	0.016580	0.233748
8	AG139	0.585441	-0.060785	3.621797	-0.035180	-0.080512	0.209458
9	AG139	0.588196	-0.270402	3.621797	-0.040196	-0.000034	0.251263
10	AG139	0.586757	-0.020371	3.621797	0.039578	-0.094939	0.174650
1	AG142	0.720868	-0.078826	3.621797	-0.011228	-0.008111	0.380619
2	AG142	0.729788	0.774511	3.621797	0.012080	-0.010583	0.219110
3	AG142	0.774022	0.478432	3.621797	-0.032766	0.042785	0.251795
4	AG142	0.769023	0.626182	3.621797	-0.002293	0.046614	0.229163
5	AG142	0.771056	0.360765	3.621797	-0.114931	-0.032983	0.230779
6	AG142	0.706222	0.185509	3.621797	-0.038250	-0.016162	0.159071
7	AG142	0.746865	0.389943	3.621797	-0.096988	-0.052656	0.230461
8	AG142	0.727152	0.289789	3.621797	0.047747	0.002764	0.177903
9	AG142	0.715423	0.542771	3.621797	-0.103756	-0.041085	0.247995
10	AG142	0.705214	0.471015	3.621797	0.018548	0.061643	0.339985
1	GD14	0.615423	-0.238577	3.621797	-0.019111	-0.151796	0.321430
2	GD14	0.614738	-0.023134	3.621797	-0.041882	-0.108092	0.259812
3	GD14	0.597847	-0.248799	3.621797	-0.038463	-0.218623	0.301790
4	GD14	0.607949	-0.086410	3.621797	0.048604	-0.134611	0.258373
5	GD14	0.605018	-0.160740	3.621797	0.074534	-0.145997	0.309364
6	GD14	0.687850	-0.223429	3.621797	0.002801	-0.044037	0.403007
7	GD14	0.590711	0.133389	3.621797	0.039733	-0.089706	0.308552
8	GD14	0.609747	0.072853	3.621797	0.111001	-0.111088	0.240806
9	GD14	0.609157	-0.056755	3.621797	-0.075098	-0.197627	0.257796
10	GD14	0.634710	0.210457	3.621797	0.013167	-0.073184	0.349378
1	GD15	0.586379	-0.161324	3.621797	-0.086992	0.043209	0.355223
2	GD15	0.658692	-0.276598	3.621797	0.003954	0.015851	0.284577
3	GD15	0.599490	0.083642	3.621797	0.012703	0.195677	0.275925
4	GD15	0.618340	-0.046414	3.621797	-0.035373	0.039124	0.253185
5	GD15	0.617621	-0.444712	3.621797	-0.102517	-0.006307	0.363861
6	GD15	0.625108	0.073425	3.621797	0.052697	0.097789	0.250071
7	GD15	0.634573	-0.149191	3.621797	0.007849	0.105056	0.212773
8	GD15	0.533743	-0.105171	3.621797	0.049735	-0.081553	0.151830
9	GD15	0.605568	-0.098991	3.621797	0.117338	0.127651	0.274073
10	GD15	0.632315	0.079893	3.621797	-0.006385	0.191630	0.288771
1	GD16	0.372376	-0.194554	3.621797	0.025569	0.050846	0.192670
2	GD16	0.409296	0.045582	3.621797	-0.012243	0.049896	0.186458
3	GD16	0.365180	-0.582136	3.621797	0.109422	-0.058709	0.235254
4	GD16	0.390779	-0.272496	3.621797	-0.078442	0.024828	0.208537
5	GD16	0.404434	0.098109	3.621797	0.007536	0.057730	0.117739
6	GD16	0.421475	-0.109886	3.621797	-0.041253	0.069302	0.253402
7	GD16	0.358957	-0.062762	3.621797	-0.023351	0.022382	0.128790
8	GD16	0.380489	0.063175	3.621797	0.058482	0.070119	0.229616
9	GD16	0.388515	-0.096067	3.621797	-0.030132	-0.012538	0.256699
10	GD16	0.379254	0.003897	3.621797	-0.106695	0.015541	0.111847
