rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.050794	-0.265572	0.000000	0.166457	0.012441	0.049591
2	AG111	0.024826	-0.159358	0.000000	0.141129	0.095643	0.051843
3	AG111	-0.019225	0.089863	0.000000	-0.306642	-0.033807	-0.059666
4	AG111	-0.008127	-0.314954	0.000000	-0.191412	-0.039637	-0.065229
5	AG111	-0.051708	-0.321261	0.000000	-0.025611	-0.039148	0.028414
6	AG111	0.023956	-0.410827	0.000000	0.036596	0.072378	0.000185
7	AG111	0.040395	-0.680435	0.000000	-0.268083	0.025043	0.076263
8	AG111	-0.028892	-0.460745	0.000000	0.191387	0.098130	0.037592
9	AG111	0.008274	-0.412459	0.000000	-0.188741	-0.020764	-0.056804
10	AG111	-0.027765	-0.224740	0.000000	-0.046292	0.038815	-0.017269
1	AG112	0.164701	0.293495	0.000000	0.178141	0.032423	-0.029037
2	AG112	0.098147	-0.000053	0.000000	-0.037456	-0.081777	0.002767
3	AG112	0.151749	-0.126718	0.000000	0.075457	0.015780	0.026572
4	AG112	0.133803	0.329852	0.000000	-0.100011	0.004207	0.009747
5	AG112	0.135479	0.192581	0.000000	-0.061746	-0.063499	0.022423
6	AG112	0.160607	-0.332741	0.000000	0.285673	0.039691	0.058251
7	AG112	0.059146	0.069209	0.000000	0.061735	-0.086638	-0.026756
8	AG112	0.117196	0.230986	0.000000	-0.007926	-0.054074	-0.039236
9	AG112	0.114401	0.358333	0.000000	0.133179	0.005098	0.032193
10	AG112	0.137797	-0.297540	0.000000	0.160374	-0.037459	-0.013009
1	AG139	-0.041876	-0.059706	0.000000	0.229813	0.076509	0.017067
2	AG139	-0.062795	0.064847	0.000000	-0.045974	0.026686	0.015148
3	AG139	-0.024133	0.073468	0.000000	0.042640	0.049605	0.067672
4	AG139	0.011097	0.127923	0.000000	-0.083870	0.008105	0.048074
5	AG139	-0.067676	-0.006631	0.000000	-0.022825	-0.070628	-0.065644
6	AG139	-0.062417	-0.294218	0.000000	-0.026647	-0.071349	0.071024
7	AG139	-0.024113	-0.082872	0.000000	-0.082527	0.042431	0.092368
8	AG139	-0.031533	0.065603	0.000000	0.100419	0.056069	0.018224
9	AG139	0.012174	-0.080297	0.000000	0.143195	-0.033374	0.041423
10	AG139	-0.022616	0.057398	0.000000	0.106541	0.025623	-0.067867
1	AG142	0.111884	0.355998	0.000000	-0.075385	0.056901	0.063237
2	AG142	0.138364	0.433961	0.000000	0.085290	0.080221	0.013838
3	AG142	0.161343	0.228517	0.000000	-0.147279	-0.045998	0.040768
4	AG142	0.146601	0.641119	0.000000	0.090368	0.040219	-0.007202
5	AG142	0.161718	0.505562	0.000000	-0.180265	0.026572	0.016102
6	AG142	0.111190	0.356815	0.000000	-0.019115	0.040710	-0.036994
7	AG142	0.159344	0.411770	0.000000	-0.088667	0.047661	0.061148
8	AG142	0.122085	0.171898	0.000000	0.076987	0.070997	0.025528
9	AG142	0.169454	0.505027	0.000000	-0.039885	0.027118	-0.075587
10	AG142	0.095393	0.394949	0.000000	0.022350	0.037169	0.011573
1	GD14	-0.022560	-0.240766	0.000000	0.199062	-0.126517	-0.001597
2	GD14	0.014673	-0.180549	0.000000	0.207082	-0.079012	-0.033148
3	GD14	0.078445	-0.248734	0.000000	0.054069	-0.190742	-0.032158
4	GD14	-0.008397	-0.004982	0.000000	0.220985	-0.077745	0.089970
5	GD14	0.013083	0.042044	0.000000	-0.168976	-0.167110	-0.027882
6	GD14	0.035933	-0.144891	0.000000	0.188460	-0.065016	0.019751
7	GD14	0.021539	-0.210165	0.000000	0.174718	-0.068190	0.012097
8	GD14	0.055325	-0.025568	0.000000	-0.000416	-0.035558	0.074121
9	GD14	0.022550	0.026461	0.000000	0.148399	-0.040591	0.075092
10	GD14	-0.007173	-0.161570	0.000000	0.250307	-0.029450	0.093904
1	GD15	0.020895	-0.118385	0.000000	-0.015126	0.043778	-0.046301
2	GD15	0.049233	0.035538	0.000000	-0.059337	-0.001966	-0.038655
3	GD15	0.029823	0.077170	0.000000	-0.384137	0.000093	-0.103651
4	GD15	-0.031189	0.204313	0.000000	-0.104728	0.072770	0.003310
5	GD15	-0.026008	-0.048857	0.000000	-0.020408	-0.012658	0.020045
6	GD15	-0.050269	0.022302	0.000000	-0.016272	0.027111	-0.000346
7	GD15	0.012370	0.029808	0.000000	-0.011416	-0.015586	0.021901
8	GD15	0.009033	-0.089757	0.000000	-0.135233	-0.006644	0.012536
9	GD15	0.013083	0.144462	0.000000	-0.140991	0.071650	0.042247
10	GD15	-0.008412	-0.012047	0.000000	-0.192548	-0.095861	-0.051516
1	GD16	-0.226841	0.070221	0.000000	-0.192061	0.062188	-0.024103
2	GD16	-0.253402	0.005938	0.000000	0.034484	-0.030679	-0.100727
3	GD16	-0.218048	0.192854	0.000000	0.095104	0.117198	-0.003456
4	GD16	-0.157492	-0.001008	0.000000	-0.159169	0.042052	-0.006783
5	GD16	-0.209295	-0.006942	0.000000	-0.159617	0.139132	0.095378
6	GD16	-0.213188	-0.004522	0.000000	-0.140736	-0.009165	0.052968
7	GD16	-0.215600	-0.238570	0.000000	0.012835	0.072077	0.116498
8	GD16	-0.233365	0.141978	0.000000	-0.283599	0.010616	-0.003272
9	GD16	-0.226075	0.000477	0.000000	0.017755	0.037044	-0.035438
10	GD16	-0.181724	-0.015945	0.000000	-0.085560	0.068149	0.010700
