Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
b1	0.163763	0.1640852	0.1638638	0.163879	0.1640044	0.1637581	0.1637727	0.164361	0.1640324	0.1643487	0.1640324	0.1639622	0.1640085	0.1641401	0.1637302	0.1639068	0.1642849	0.163836	0.1643322	0.1639276	0.1646495	0.1635597	0.1650265	0.164304	0.1651228	0.1638231	0.1639522	0.1638241	0.1640379	0.1641135	0.1641292	0.1644805	0.1640766	0.163919	0.1639613	0.1638532	0.1639064	0.1640934	0.1638743	0.1641072	0.1640188	0.1638856	0.1638881	0.1640961	0.1642157	0.1639076	0.1638115	0.1636559	0.163835	0.1639795
b2	0.1772896	0.1791758	0.1788789	0.1780292	0.218349	0.1779646	0.1777163	0.2668972	0.1783525	0.2618862	0.1787298	0.1781319	0.3126056	0.2590071	0.1780755	0.1780391	0.1777734	0.1788504	0.2160629	0.1783388	0.2619815	0.1778464	0.2746895	0.2265582	0.2804528	0.177816	0.1781259	0.1786499	0.1782215	0.1783499	0.1775575	0.2423347	0.1777808	0.178598	0.1774585	0.1776716	0.1782191	0.1787026	0.1779991	0.1776313	0.1781422	0.1786375	0.1779693	0.1782199	0.1786893	0.1784588	0.17861	0.3122616	0.17751	0.1780795
b3	0.2752269	0.2753146	0.2754922	0.2735212	0.2898007	0.2767499	0.278633	0.2835845	0.2734917	0.2803713	0.2736858	0.2784475	0.3205189	0.2833443	0.2756223	0.2769223	0.2778897	0.2747859	0.2884301	0.2765149	0.2810742	0.275305	0.2812936	0.2870605	0.2832764	0.281036	0.2723952	0.2699014	0.2743258	0.2745118	0.2778615	0.2824739	0.2773456	0.275765	0.2766943	0.2759789	0.2732746	0.2745104	0.275927	0.2753222	0.2751978	0.2746413	0.2753479	0.28241	0.2721136	0.2775775	0.2725446	0.3238038	0.274112	0.2750012
eta_deltaCB_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_deltaSC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_rhoC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omega_deltaCB	0.03982349	0.05718757	0.05763843	0.06639834	0.2333079	0.07473492	0.05585073	0.6445761	0.06883356	0.8109965	0.07730179	0.07743354	316.771021	0.6515178	0.08093806	0.06229132	0.06356814	0.07009519	0.2209889	0.07076677	0.7938046	0.04530465	1.241625	0.3298723	1.167551	0.05758329	0.0789761	0.05962435	0.0813097	0.07983246	0.06665433	0.5062842	0.06885039	0.05278408	0.06871346	0.06610543	0.07446026	0.05149849	0.06338051	0.04466439	0.06581857	0.08911654	0.07979351	0.04573428	0.07881432	0.0523471	0.07229197	297.093807	0.02274944	0.07318833
omega_deltaSC	0.2399478	0.2608467	0.2489804	0.264569	0.2565778	0.2404537	0.2399621	0.09308018	0.2631307	0.1925541	0.2556668	0.2396297	0.3243303	0.1171702	0.2432137	0.2448945	0.2467082	0.2572169	0.2631639	0.2566902	0.1838236	0.2433666	0.2765292	0.2046254	0.2135628	0.2294373	0.2695396	0.2783737	0.2676383	0.2586795	0.2428033	0.1690892	0.2463206	0.2475987	0.2449289	0.2464074	0.2610874	0.2571967	0.2483596	0.2530826	0.2600693	0.2598821	0.2555136	0.2173533	0.2657664	0.2433648	0.2612523	0.3179373	0.2577075	0.2558558
omega_rhoB	0.1225418	0.03707375	0.08444849	0.06381399	0.1103727	0.03761143	0.0641852	0.1251601	0.05038654	0.06539477	0.05091929	0.0448828	0.07765007	0.0926356	0.04716371	0.07278973	0.06947765	0.07865723	0.1103288	0.04746	0.0716457	0.1087255	0.06742393	0.1106084	0.07458376	0.06312633	0.03295244	0.08928481	0.03341532	0.04691729	0.07695502	0.09449985	0.0499078	0.09647614	0.02924128	0.07637319	0.05174181	0.06294185	0.06527552	0.1003414	0.0670219	0.03362137	0.03362968	0.08032702	0.03614758	0.05841127	0.05638941	0.06978659	0.1354956	0.06375374
omega_rhoC	0.09106644	0.1751057	0.1330417	0.1368668	0.1066717	0.1097259	0.1358315	0.07425075	0.1442303	0.2295579	0.1321701	0.1048145	2705489083937991816118272	0.1610186	0.08050571	0.12063	0.1012493	0.08638742	0.09914933	0.125778	0.221978	0.1141482	0.3023637	0.1218218	0.2564594	0.1328777	0.08190081	0.1174756	0.1042714	0.09794524	0.0691962	0.1661391	0.1220517	0.1221195	0.1539396	0.0758747	0.1058911	0.1764684	0.1307178	0.1421614	0.09396309	0.07737021	0.08784214	0.1498877	0.1341983	0.172228	0.1390736	198231271573935423488	0.06512651	0.05243903
omega_rhoS	0.1190596	0.1191053	0.1191527	0.1184526	0.1185501	0.1187741	0.1186206	0.1181698	0.1186061	0.1173474	0.1191419	0.1188283	0.1190659	0.1176261	0.1190201	0.1186921	0.1182817	0.1194406	0.1189965	0.1186605	0.117211	0.1188263	0.1166473	0.1184198	0.1167448	0.1189205	0.1187775	0.1186855	0.1185312	0.1188808	0.1180513	0.11791	0.1184043	0.1190739	0.118354	0.1186167	0.1186535	0.1189506	0.118932	0.1183784	0.118964	0.1189263	0.118471	0.1191753	0.119145	0.1186196	0.118764	0.1194936	0.1188717	0.1190786
rhoB_pop	0.2541878	0.2545349	0.2600903	0.258744	0.5608063	0.2412212	0.2503436	0.7058198	0.2615834	0.696555	0.2638418	0.2625267	0.8306545	0.6916861	0.2387116	0.2516805	0.2572154	0.2512377	0.5504846	0.2601924	0.6984406	0.2532921	0.7146517	0.5919275	0.7280143	0.2509081	0.2521601	0.2577184	0.2696316	0.2495252	0.2540459	0.6507601	0.2455866	0.2531714	0.2327387	0.2462958	0.2595789	0.2441204	0.2527024	0.2563517	0.2580745	0.2633706	0.2529132	0.2470036	0.2581496	0.2445692	0.2581865	0.8347059	0.255313	0.254537
rhoC_pop	3.720978	3.174927	3.227129	3.789425	1.186756	3.554387	3.816254	0.8712713	3.651815	0.790714	3.163279	3.465157	2.610532	0.8618533	3.302902	3.663615	4.017765	3.243192	1.218088	3.726086	0.7932177	3.576683	0.6488008	1.117762	0.6651584	3.766666	3.657731	3.456015	3.702999	3.355366	4.240585	0.972206	3.900762	3.321595	4.336206	3.924677	3.608307	3.262538	3.618011	4.005388	3.644472	3.251766	3.643273	3.608073	3.29328	3.599564	3.316442	2.663403	3.757906	3.621797
rhoS_pop	0.6137202	0.6138879	0.6135003	0.6130646	0.6168696	0.6136574	0.6132175	0.6162652	0.613102	0.6161226	0.6135161	0.6128686	0.619404	0.6166774	0.614125	0.6133204	0.6128253	0.6140666	0.6166886	0.6130841	0.6161389	0.6136919	0.6155131	0.6165587	0.6158456	0.6132917	0.6132172	0.6138168	0.6125496	0.6134614	0.6127015	0.6166783	0.6131267	0.6139289	0.6132474	0.6131325	0.6129197	0.6142076	0.6133678	0.6128569	0.613362	0.6134666	0.6132596	0.6136128	0.6136437	0.6137484	0.6135388	0.6190917	0.6135403	0.6134955
-2LL	1761.33	1761.59	1761.84	1761.53	1783.12	1761.3	1761.56	1798.48	1761.4	1804	1761.47	1761.24	1807.21	1798.79	1761.42	1761.69	1761.4	1761.41	1781.79	1761.36	1803.46	1761.39	1815.56	1786.3	1813.99	1761.25	1761.12	1761.51	1761.19	1761.15	1761.45	1793.01	1761.45	1761.52	1761.54	1761.5	1761.36	1761.83	1761.55	1761.28	1761.4	1761.25	1761.21	1761.62	1761.4	1761.66	1761.16	1806.94	1761.09	1761.31
