rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	0.003287	-0.503131	0.000000	-0.073969	-0.073427	0.000000
2	AG111	-0.020291	-0.087530	0.000000	-0.288642	0.017225	0.000000
3	AG111	-0.033026	-0.249426	0.000000	-0.099054	0.028410	0.000000
4	AG111	-0.055474	-0.462938	0.000000	-0.082298	0.003226	0.000000
5	AG111	-0.033714	0.044876	0.000000	-0.278064	0.049726	0.000000
6	AG111	-0.006158	-0.199946	0.000000	0.066289	0.096399	0.000000
7	AG111	-0.001665	-0.126056	0.000000	-0.293218	0.084451	0.000000
8	AG111	-0.015326	-0.486045	0.000000	0.040764	-0.009323	0.000000
9	AG111	-0.068614	-0.244415	0.000000	-0.175625	-0.059976	0.000000
10	AG111	0.029103	-0.458276	0.000000	-0.157830	0.107191	0.000000
1	AG112	0.139246	0.038317	0.000000	0.122276	-0.057839	0.000000
2	AG112	0.109087	0.363490	0.000000	0.102625	0.003770	0.000000
3	AG112	0.160466	-0.097821	0.000000	0.169273	0.003097	0.000000
4	AG112	0.103612	0.441812	0.000000	-0.120812	-0.032328	0.000000
5	AG112	0.172297	0.141792	0.000000	0.097708	0.034918	0.000000
6	AG112	0.131695	0.052305	0.000000	0.010962	0.019480	0.000000
7	AG112	0.112751	0.246410	0.000000	0.174231	-0.025889	0.000000
8	AG112	0.134703	0.023934	0.000000	0.221023	-0.027536	0.000000
9	AG112	0.085284	0.049746	0.000000	0.043316	-0.041253	0.000000
10	AG112	0.142396	0.066108	0.000000	0.032681	-0.019285	0.000000
1	AG139	-0.023595	0.103077	0.000000	0.108020	0.088925	0.000000
2	AG139	-0.029593	-0.116191	0.000000	0.050987	0.004139	0.000000
3	AG139	-0.014844	0.264011	0.000000	0.026106	-0.036998	0.000000
4	AG139	0.008277	-0.042194	0.000000	0.111022	0.094937	0.000000
5	AG139	-0.030074	-0.012432	0.000000	0.035292	-0.019707	0.000000
6	AG139	-0.047192	-0.084484	0.000000	-0.148192	-0.022389	0.000000
7	AG139	-0.017297	0.157435	0.000000	-0.069868	-0.021540	0.000000
8	AG139	0.040424	-0.052172	0.000000	-0.035095	0.025591	0.000000
9	AG139	-0.045963	0.141462	0.000000	0.004800	-0.006161	0.000000
10	AG139	0.032510	-0.034826	0.000000	-0.132007	-0.030880	0.000000
1	AG142	0.125238	0.032420	0.000000	-0.009303	-0.006866	0.000000
2	AG142	0.137978	0.493170	0.000000	0.101930	0.121991	0.000000
3	AG142	0.183487	0.536709	0.000000	-0.276939	0.064310	0.000000
4	AG142	0.119432	0.326835	0.000000	0.091020	0.070897	0.000000
5	AG142	0.102431	0.403901	0.000000	0.190207	0.044664	0.000000
6	AG142	0.138137	0.199429	0.000000	0.025616	-0.000433	0.000000
7	AG142	0.164889	-0.161091	0.000000	0.179199	0.060019	0.000000
8	AG142	0.170307	0.275170	0.000000	-0.174504	-0.022721	0.000000
9	AG142	0.153726	0.416840	0.000000	-0.059623	0.030044	0.000000
10	AG142	0.157273	0.374611	0.000000	-0.204435	-0.062287	0.000000
1	GD14	0.038883	-0.114887	0.000000	0.059555	-0.094740	0.000000
2	GD14	0.043661	0.031034	0.000000	-0.138826	-0.109935	0.000000
3	GD14	0.030029	-0.336549	0.000000	0.287230	-0.117665	0.000000
4	GD14	-0.024190	-0.253800	0.000000	0.083750	-0.190639	0.000000
5	GD14	0.060731	-0.184351	0.000000	0.166244	-0.067815	0.000000
6	GD14	0.003529	-0.000553	0.000000	0.172666	-0.053425	0.000000
7	GD14	0.041897	-0.020060	0.000000	-0.105006	-0.115482	0.000000
8	GD14	0.053583	0.156916	0.000000	0.046357	-0.113770	0.000000
9	GD14	0.029970	0.222040	0.000000	-0.012763	-0.076518	0.000000
10	GD14	0.026955	0.069195	0.000000	0.233458	-0.030117	0.000000
1	GD15	-0.025772	-0.023724	0.000000	0.012314	0.097263	0.000000
2	GD15	-0.030904	0.322119	0.000000	-0.144394	0.043601	0.000000
3	GD15	-0.016415	-0.213012	0.000000	-0.088331	0.015281	0.000000
4	GD15	-0.015016	-0.172829	0.000000	0.077919	0.098288	0.000000
5	GD15	0.008041	-0.214553	0.000000	-0.150269	-0.005987	0.000000
6	GD15	0.018389	0.370464	0.000000	-0.327199	0.100493	0.000000
7	GD15	-0.024509	-0.220144	0.000000	-0.126062	0.009056	0.000000
8	GD15	0.002906	0.091599	0.000000	-0.445141	0.034674	0.000000
9	GD15	0.019754	-0.001229	0.000000	-0.247680	0.052717	0.000000
10	GD15	0.009365	-0.020175	0.000000	-0.221469	-0.043756	0.000000
1	GD16	-0.262539	0.069008	0.000000	-0.094583	0.065400	0.000000
2	GD16	-0.164261	0.100854	0.000000	-0.184961	0.074031	0.000000
3	GD16	-0.257636	0.087834	0.000000	-0.080063	-0.017616	0.000000
4	GD16	-0.250327	-0.038271	0.000000	-0.223104	-0.016481	0.000000
5	GD16	-0.276871	0.491125	0.000000	-0.105757	0.100567	0.000000
6	GD16	-0.251716	0.135012	0.000000	-0.059043	0.057281	0.000000
7	GD16	-0.246843	-0.143055	0.000000	0.075890	0.007851	0.000000
8	GD16	-0.277922	0.201158	0.000000	-0.331801	0.057350	0.000000
9	GD16	-0.253257	0.089982	0.000000	-0.259167	0.065810	0.000000
10	GD16	-0.241577	0.142961	0.000000	-0.168086	0.075975	0.000000
