rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.672816	-0.208978	3.233893	0.257426	0.041778	-0.212879
2	AG111	0.557913	-0.501242	3.233893	-0.085743	-0.263669	-0.212879
3	AG111	0.581437	0.052113	3.233893	0.218518	-0.091599	-0.212879
4	AG111	0.583181	-0.319342	3.233893	0.174576	-0.066472	-0.212879
5	AG111	0.559657	0.025129	3.233893	-0.208097	-0.224165	-0.212879
6	AG111	0.616496	-0.663812	3.233893	0.246813	-0.087612	-0.212879
7	AG111	0.612738	-0.149700	3.233893	0.114409	0.044782	-0.212879
8	AG111	0.574035	-0.351097	3.233893	0.227457	-0.068256	-0.212879
9	AG111	0.592861	-0.391680	3.233893	0.034041	-0.155754	-0.212879
10	AG111	0.662915	-0.196630	3.233893	0.338771	-0.053421	-0.212879
1	AG112	0.805613	0.067989	3.233893	0.259036	-0.072541	-0.212879
2	AG112	0.707288	0.509496	3.233893	-0.128628	-0.253573	-0.212879
3	AG112	0.731990	-0.044928	3.233893	0.009802	-0.253315	-0.212879
4	AG112	0.762223	0.333373	3.233893	0.273785	-0.137855	-0.212879
5	AG112	0.766764	0.417659	3.233893	-0.176161	-0.333410	-0.212879
6	AG112	0.709239	0.535149	3.233893	-0.090554	-0.267795	-0.212879
7	AG112	0.753927	0.115690	3.233893	0.193087	-0.150075	-0.212879
8	AG112	0.730167	0.041804	3.233893	-0.093392	-0.341183	-0.212879
9	AG112	0.754884	0.159515	3.233893	0.072988	-0.245267	-0.212879
10	AG112	0.751626	-0.054065	3.233893	0.073721	-0.248806	-0.212879
1	AG139	0.568011	0.118494	3.233893	0.142530	-0.136918	-0.212879
2	AG139	0.523716	0.215254	3.233893	-0.199444	-0.232993	-0.212879
3	AG139	0.542966	0.143057	3.233893	0.177801	-0.080494	-0.212879
4	AG139	0.558910	0.069222	3.233893	0.083038	-0.124828	-0.212879
5	AG139	0.571733	0.538073	3.233893	0.076578	-0.087063	-0.212879
6	AG139	0.585252	-0.207792	3.233893	0.172016	-0.125684	-0.212879
7	AG139	0.571397	-0.340215	3.233893	0.135669	-0.146832	-0.212879
8	AG139	0.554325	0.006214	3.233893	0.269395	-0.097310	-0.212879
9	AG139	0.570124	0.175202	3.233893	-0.106263	-0.206153	-0.212879
10	AG139	0.571092	-0.011673	3.233893	0.080884	-0.106927	-0.212879
1	AG142	0.770500	0.371013	3.233893	0.086021	-0.111723	-0.212879
2	AG142	0.750255	0.819530	3.233893	-0.057593	-0.196674	-0.212879
3	AG142	0.740483	0.482084	3.233893	0.413163	-0.008108	-0.212879
4	AG142	0.734372	0.543972	3.233893	-0.075388	-0.179817	-0.212879
5	AG142	0.802412	0.411972	3.233893	0.011769	-0.168118	-0.212879
6	AG142	0.720487	0.221902	3.233893	0.257770	-0.067975	-0.212879
7	AG142	0.784653	0.629641	3.233893	-0.377073	-0.315435	-0.212879
8	AG142	0.731544	0.531331	3.233893	0.147235	-0.085281	-0.212879
9	AG142	0.740467	0.410258	3.233893	-0.055517	-0.207795	-0.212879
10	AG142	0.807951	0.321104	3.233893	0.000226	-0.160182	-0.212879
1	GD14	0.652940	-0.267508	3.233893	0.121096	-0.281560	-0.212879
2	GD14	0.638356	-0.125580	3.233893	-0.223979	-0.406073	-0.212879
3	GD14	0.610919	0.009930	3.233893	0.159325	-0.205578	-0.212879
4	GD14	0.642359	-0.079779	3.233893	0.161179	-0.256181	-0.212879
5	GD14	0.624681	-0.056183	3.233893	0.077721	-0.283403	-0.212879
6	GD14	0.583282	0.279635	3.233893	0.158812	-0.183678	-0.212879
7	GD14	0.602111	0.134437	3.233893	-0.033013	-0.282757	-0.212879
8	GD14	0.638400	-0.059155	3.233893	0.175367	-0.208836	-0.212879
9	GD14	0.613346	0.029833	3.233893	0.016355	-0.273294	-0.212879
10	GD14	0.600273	0.320836	3.233893	0.118785	-0.240070	-0.212879
1	GD15	0.602918	-0.391343	3.233893	0.131543	-0.178653	-0.212879
2	GD15	0.588843	0.217436	3.233893	0.028470	-0.139585	-0.212879
3	GD15	0.648212	0.250150	3.233893	-0.000672	-0.100503	-0.212879
4	GD15	0.637816	-0.122274	3.233893	0.016543	-0.092697	-0.212879
5	GD15	0.677129	-0.108918	3.233893	-0.211480	-0.225716	-0.212879
6	GD15	0.593748	0.209533	3.233893	-0.201969	-0.224871	-0.212879
7	GD15	0.583871	0.076715	3.233893	0.154686	-0.101218	-0.212879
8	GD15	0.652491	0.175795	3.233893	0.053044	-0.095212	-0.212879
9	GD15	0.625056	0.037345	3.233893	0.064028	-0.117715	-0.212879
10	GD15	0.586550	0.060359	3.233893	0.289724	-0.053131	-0.212879
1	GD16	0.409113	0.084478	3.233893	0.143987	-0.115863	-0.212879
2	GD16	0.380059	0.215316	3.233893	-0.079300	-0.128019	-0.212879
3	GD16	0.388654	-0.000939	3.233893	-0.003323	-0.144785	-0.212879
4	GD16	0.376607	0.303199	3.233893	-0.090360	-0.147848	-0.212879
5	GD16	0.462922	0.130741	3.233893	0.173064	0.051832	-0.212879
6	GD16	0.392678	-0.038426	3.233893	-0.128865	-0.206107	-0.212879
7	GD16	0.391349	0.133621	3.233893	-0.218791	-0.182103	-0.212879
8	GD16	0.456237	-0.012032	3.233893	-0.063493	-0.140689	-0.212879
9	GD16	0.434323	-0.094635	3.233893	0.221398	0.035263	-0.212879
10	GD16	0.353382	-0.068559	3.233893	-0.076615	-0.174022	-0.212879
