rhoS_pop	0.00211	nan	nan	0.00000	0.00012	-0.00032	0.00001	-0.00003	0.00000	-0.00002
rhoC_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
rhoB_pop	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
omega_rhoS	0.00000	nan	nan	0.00113	-0.00003	-0.00022	0.00003	-0.00001	-0.00001	0.00002
omega_deltaSC	0.00012	nan	nan	-0.00003	0.02288	-0.01039	0.00216	0.00003	0.00027	-0.00306
omega_rhoC	-0.00032	nan	nan	-0.00022	-0.01039	0.05059	-0.00812	0.00005	-0.00021	0.00020
omega_deltaCB	0.00001	nan	nan	0.00003	0.00216	-0.00812	0.00478	0.00000	0.00006	-0.00014
b1	-0.00003	nan	nan	-0.00001	0.00003	0.00005	0.00000	0.00048	0.00000	-0.00001
b2	0.00000	nan	nan	-0.00001	0.00027	-0.00021	0.00006	0.00000	0.00051	-0.00006
b3	-0.00002	nan	nan	0.00002	-0.00306	0.00020	-0.00014	-0.00001	-0.00006	0.00302
