rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	1	0.62815307746808224	-0.01381111571624394	3.98662182967743695	0.03451173970896398	0.16953210316671952	0.24554486775793796	0.01514149370086060	-0.01381111571624394	0.00000000000000000	0.03451173970896398	0.16953210316671952	0.00000000000000000
2	1	0.64165112315484729	-0.60171640472303467	3.98662182967743695	0.01964627241785671	0.05261390115856818	0.24554486775793796	0.02863953938762565	-0.60171640472303467	0.00000000000000000	0.01964627241785671	0.05261390115856818	0.00000000000000000
3	1	0.57150503521677654	-0.40660496397844215	3.98662182967743695	0.09940067143453843	-0.03674856299728785	0.24554486775793796	-0.04150654855044511	-0.40660496397844215	0.00000000000000000	0.09940067143453843	-0.03674856299728785	0.00000000000000000
4	1	0.59562895142474759	-0.23562727037993042	3.98662182967743695	-0.01485945749015637	-0.05646825588333679	0.24554486775793796	-0.01738263234247406	-0.23562727037993042	0.00000000000000000	-0.01485945749015637	-0.05646825588333679	0.00000000000000000
5	1	0.58192332679118042	-0.36530799419092386	3.98662182967743695	-0.16062180078519997	0.08787308657575672	0.24554486775793796	-0.03108825697604123	-0.36530799419092386	0.00000000000000000	-0.16062180078519997	0.08787308657575672	0.00000000000000000
6	1	0.59153141019046218	-0.28303306735964223	3.98662182967743695	-0.06011052660316735	0.01289653568923912	0.24554486775793796	-0.02148017357675946	-0.28303306735964223	0.00000000000000000	-0.06011052660316735	0.01289653568923912	0.00000000000000000
7	1	0.55777158244389413	-0.21167106221869525	3.98662182967743695	0.19113265857610970	0.10506658496164575	0.24554486775793796	-0.05524000132332751	-0.21167106221869525	0.00000000000000000	0.19113265857610970	0.10506658496164575	0.00000000000000000
8	1	0.59089645871144036	-0.07985683134683159	3.98662182967743695	-0.08515854260291660	0.06048784936103761	0.24554486775793796	-0.02211512505578128	-0.07985683134683159	0.00000000000000000	-0.08515854260291660	0.06048784936103761	0.00000000000000000
9	1	0.66783349293120342	-0.48778758614661211	3.98662182967743695	-0.03845505767569275	0.06082060692729492	0.24554486775793796	0.05482190916398177	-0.48778758614661211	0.00000000000000000	-0.03845505767569275	0.06082060692729492	0.00000000000000000
10	1	0.59470173284418537	-0.35354587677065236	3.98662182967743695	-0.01191747185483627	0.04101438741335919	0.24554486775793796	-0.01830985092303627	-0.35354587677065236	0.00000000000000000	-0.01191747185483627	0.04101438741335919	0.00000000000000000
1	2	0.73534758762360908	0.08508974458539342	3.98662182967743695	0.02722143297075624	-0.09209455138089731	0.24554486775793796	0.12233600385638743	0.08508974458539342	0.00000000000000000	0.02722143297075624	-0.09209455138089731	0.00000000000000000
2	2	0.73080166318611217	0.33731907473724876	3.98662182967743695	-0.14412312629800894	-0.07955695419205797	0.24554486775793796	0.11779007941889053	0.33731907473724876	0.00000000000000000	-0.14412312629800894	-0.07955695419205797	0.00000000000000000
3	2	0.76764685835650359	0.28834887130266401	3.98662182967743695	-0.17367241463053465	-0.11881854949093867	0.24554486775793796	0.15463527458928195	0.28834887130266401	0.00000000000000000	-0.17367241463053465	-0.11881854949093867	0.00000000000000000
4	2	0.73232013609673718	-0.12100962834167739	3.98662182967743695	0.22099329341411339	-0.04299248642092747	0.24554486775793796	0.11930855232951554	-0.12100962834167739	0.00000000000000000	0.22099329341411339	-0.04299248642092747	0.00000000000000000
5	2	0.75377567652207500	0.41039975301482434	3.98662182967743695	-0.16885524983772671	-0.05300027036978284	0.24554486775793796	0.14076409275485335	0.41039975301482434	0.00000000000000000	-0.16885524983772671	-0.05300027036978284	0.00000000000000000
6	2	0.73500081503960357	-0.07380695774607492	3.98662182967743695	-0.03939705293083579	-0.10122591317380894	0.24554486775793796	0.12198923127238193	-0.07380695774607492	0.00000000000000000	-0.03939705293083579	-0.10122591317380894	0.00000000000000000
7	2	0.73663113286310811	0.44878074749068619	3.98662182967743695	0.08326855037985981	0.00031553843361013	0.24554486775793796	0.12361954909588646	0.44878074749068619	0.00000000000000000	0.08326855037985981	0.00031553843361013	0.00000000000000000
