parameter	value	se_sa	rse_sa
rhoS_pop	0.61265758574924167	0.04626028304344275	7.55075659217853801
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	3.78680831125039719	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.26740530460728901	nan	nan
omega_rhoS	0.11893630786072421	0.03371628716113181	28.34818716637309066
omega_deltaSC	0.24922759179515985	0.21486201564880833	86.21116711082432005
omega_rhoC	0.09834136190269761	0.31440640266799819	319.70922161834903363
omega_deltaCB	0.07936662474280246	0.05051077419189613	63.64233625353561763
b1	0.16460922177491941	0.02174388323300544	13.20939556031509809
b2	0.17819861384674135	0.02323873845471528	13.04091987758199878
b3	0.28290480829776204	0.05728014176385652	20.24714323821891782
