rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.614428	-0.298327	1.283669	0.000000	-0.312703	0.255022
2	AG111	0.608853	-0.425635	1.283669	0.000000	0.091673	0.546000
3	AG111	0.538234	-0.211866	1.283669	0.000000	0.092560	0.601411
4	AG111	0.570004	-0.284053	1.283669	0.000000	-0.300116	0.337616
5	AG111	0.592183	-0.722518	1.283669	0.000000	0.125757	0.485944
6	AG111	0.608925	-0.388304	1.283669	0.000000	-0.294194	0.211139
7	AG111	0.644982	-0.759303	1.283669	0.000000	0.151990	0.526865
8	AG111	0.561335	-0.649920	1.283669	0.000000	-0.041407	0.428091
9	AG111	0.607864	-0.338479	1.283669	0.000000	0.148450	0.349393
10	AG111	0.625401	-0.490482	1.283669	0.000000	0.115438	0.353108
1	AG112	0.722385	-0.315512	1.283669	0.000000	-0.068455	0.647614
2	AG112	0.829890	-0.035617	1.283669	0.000000	-0.132772	0.556752
3	AG112	0.746100	-0.143088	1.283669	0.000000	-0.067735	0.565926
4	AG112	0.737453	-0.409414	1.283669	0.000000	-0.147499	0.724237
5	AG112	0.714558	-0.098040	1.283669	0.000000	0.185836	0.620831
6	AG112	0.749097	-0.007801	1.283669	0.000000	-0.499118	0.571901
7	AG112	0.757248	0.094593	1.283669	0.000000	-0.058967	0.480753
8	AG112	0.774752	-0.055654	1.283669	0.000000	-0.111655	0.626752
9	AG112	0.742298	0.040260	1.283669	0.000000	0.184438	0.713887
10	AG112	0.735959	-0.134548	1.283669	0.000000	-0.132684	0.716203
1	AG139	0.572801	0.013397	1.283669	0.000000	0.240246	0.634168
2	AG139	0.550879	0.116435	1.283669	0.000000	0.200024	0.452406
3	AG139	0.571592	0.280590	1.283669	0.000000	-0.023904	0.474513
4	AG139	0.578097	0.031864	1.283669	0.000000	0.078936	0.606243
5	AG139	0.589014	0.238145	1.283669	0.000000	0.056684	0.506122
6	AG139	0.571295	0.075853	1.283669	0.000000	0.280885	0.492484
7	AG139	0.568010	0.133336	1.283669	0.000000	-0.037058	0.504627
8	AG139	0.554275	0.230111	1.283669	0.000000	0.068175	0.324150
9	AG139	0.499072	0.059181	1.283669	0.000000	0.089973	0.433219
10	AG139	0.567560	-0.124085	1.283669	0.000000	-0.026388	0.501851
1	AG142	0.737819	0.479782	1.283669	0.000000	0.144492	0.568549
2	AG142	0.748444	0.608220	1.283669	0.000000	0.238872	0.624535
3	AG142	0.786574	0.599171	1.283669	0.000000	0.103257	0.481237
4	AG142	0.756697	0.352981	1.283669	0.000000	0.205338	0.600325
5	AG142	0.743221	0.971167	1.283669	0.000000	0.140581	0.599971
6	AG142	0.746747	0.508212	1.283669	0.000000	0.086592	0.587933
7	AG142	0.731754	0.660333	1.283669	0.000000	-0.002373	0.524988
8	AG142	0.743424	0.702097	1.283669	0.000000	0.029211	0.646284
9	AG142	0.735511	-0.061196	1.283669	0.000000	0.374813	0.584649
10	AG142	0.785729	0.579741	1.283669	0.000000	0.171910	0.514987
1	GD14	0.625476	-0.282025	1.283669	0.000000	0.024259	0.717211
2	GD14	0.680829	-0.354892	1.283669	0.000000	-0.112636	0.655637
3	GD14	0.630704	-0.043654	1.283669	0.000000	-0.113525	0.769760
4	GD14	0.654690	0.090123	1.283669	0.000000	0.177954	0.736443
5	GD14	0.581073	-0.089565	1.283669	0.000000	0.298973	0.756582
6	GD14	0.608166	-0.053706	1.283669	0.000000	-0.061484	0.630294
7	GD14	0.658881	-0.342071	1.283669	0.000000	0.089454	0.707591
8	GD14	0.629364	-0.272951	1.283669	0.000000	0.039782	0.720431
9	GD14	0.617704	-0.269208	1.283669	0.000000	0.010417	0.804081
10	GD14	0.639193	0.079795	1.283669	0.000000	-0.050730	0.619091
1	GD15	0.590615	-0.112159	1.283669	0.000000	0.141137	0.545597
2	GD15	0.591029	-0.114799	1.283669	0.000000	-0.025144	0.491479
3	GD15	0.621645	0.191578	1.283669	0.000000	0.210723	0.418987
4	GD15	0.619263	0.356649	1.283669	0.000000	0.153047	0.537091
5	GD15	0.640009	0.061824	1.283669	0.000000	0.056484	0.502049
6	GD15	0.661310	-0.176756	1.283669	0.000000	0.259814	0.354959
7	GD15	0.564193	-0.077047	1.283669	0.000000	0.169875	0.524271
8	GD15	0.582337	0.104270	1.283669	0.000000	0.060721	0.391228
9	GD15	0.620085	0.631194	1.283669	0.000000	0.222884	0.459553
10	GD15	0.567308	0.039368	1.283669	0.000000	-0.032896	0.586830
1	GD16	0.402238	0.152125	1.283669	0.000000	0.077614	0.338667
2	GD16	0.358013	0.284829	1.283669	0.000000	0.148645	0.225443
3	GD16	0.364802	-0.296822	1.283669	0.000000	0.401554	0.525023
4	GD16	0.410813	-0.198669	1.283669	0.000000	0.045299	0.309009
5	GD16	0.403308	0.012200	1.283669	0.000000	0.322306	0.312553
6	GD16	0.375464	-0.276191	1.283669	0.000000	0.284335	0.448647
7	GD16	0.361037	-0.239500	1.283669	0.000000	0.300185	0.557513
8	GD16	0.401023	0.006430	1.283669	0.000000	0.220871	0.392795
9	GD16	0.407947	0.352899	1.283669	0.000000	0.407553	0.382206
10	GD16	0.365310	0.441561	1.283669	0.000000	0.251801	0.405815
