rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	1	0.59538963481687535	0.08443312160206048	3.45104657151421179	0.00000000000000000	0.06146481289189551	0.19587551404281214	-0.01833488787366377	0.08443312160206048	0.00000000000000000	0.00000000000000000	0.06146481289189551	-0.05329748425532507
2	1	0.61765919638765399	-0.56965372331509723	3.45104657151421179	0.00000000000000000	-0.00961596689153058	0.30149314745060679	0.00393467369711487	-0.56965372331509723	0.00000000000000000	0.00000000000000000	-0.00961596689153058	0.05232014915246957
3	1	0.62138118654552665	-0.76212227551102241	3.45104657151421179	0.00000000000000000	0.04860249840289024	0.29941196615724897	0.00765666385498753	-0.76212227551102241	0.00000000000000000	0.00000000000000000	0.04860249840289024	0.05023896785911175
4	1	0.66365480871934812	-0.63531885377649233	3.45104657151421179	0.00000000000000000	0.20294877595275998	0.19454871319936085	0.04993028602880900	-0.63531885377649233	0.00000000000000000	0.00000000000000000	0.20294877595275998	-0.05462428509877637
5	1	0.54326357149439131	-0.31072023895086948	3.45104657151421179	0.00000000000000000	-0.00917297744652740	0.19252729577993938	-0.07046095119614781	-0.31072023895086948	0.00000000000000000	0.00000000000000000	-0.00917297744652740	-0.05664570251819784
6	1	0.62933050563139725	-0.76715434278502559	3.45104657151421179	0.00000000000000000	0.01188585636778280	0.22859419976512713	0.01560598294085813	-0.76715434278502559	0.00000000000000000	0.00000000000000000	0.01188585636778280	-0.02057879853301009
7	1	0.60111276354342280	-0.30887463148873912	3.45104657151421179	0.00000000000000000	-0.02491821619762458	0.17562194665202496	-0.01261175914711632	-0.30887463148873912	0.00000000000000000	0.00000000000000000	-0.02491821619762458	-0.07355105164611225
8	1	0.62988512134603414	-0.22169906997969144	3.45104657151421179	0.00000000000000000	0.00692177214015232	0.21391746270448514	0.01616059865549502	-0.22169906997969144	0.00000000000000000	0.00000000000000000	0.00692177214015232	-0.03525553559365208
9	1	0.65218207775122672	-0.44879028508715929	3.45104657151421179	0.00000000000000000	0.00876566913195553	0.16113607879038738	0.03845755506068760	-0.44879028508715929	0.00000000000000000	0.00000000000000000	0.00876566913195553	-0.08803691950774983
10	1	0.64248542633254113	0.18801886717611177	3.45104657151421179	0.00000000000000000	0.08546994893724828	0.20844490939559029	0.02876090364200201	0.18801886717611177	0.00000000000000000	0.00000000000000000	0.08546994893724828	-0.04072808890254692
