rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.018470	-0.447393	0.000000	0.000000	-0.012901	-0.090319
2	AG111	-0.055537	-0.232820	0.000000	0.000000	0.022063	-0.155368
3	AG111	-0.010655	-0.316144	0.000000	0.000000	0.001089	-0.208279
4	AG111	0.006353	0.075531	0.000000	0.000000	-0.005418	-0.247558
5	AG111	-0.039369	-0.327850	0.000000	0.000000	0.029485	-0.034073
6	AG111	-0.032526	-0.311105	0.000000	0.000000	0.031715	-0.061581
7	AG111	-0.006341	-0.139277	0.000000	0.000000	0.076355	-0.050565
8	AG111	-0.049804	0.079698	0.000000	0.000000	0.017024	-0.064159
9	AG111	-0.048207	0.099294	0.000000	0.000000	-0.026154	-0.231469
10	AG111	-0.035655	-0.224202	0.000000	0.000000	0.029250	-0.076917
1	AG112	0.159802	-0.083397	0.000000	0.000000	-0.043447	-0.005125
2	AG112	0.143491	0.069150	0.000000	0.000000	-0.040741	0.041731
3	AG112	0.110580	0.022729	0.000000	0.000000	-0.071911	-0.058343
4	AG112	0.185418	0.244648	0.000000	0.000000	0.031632	0.038992
5	AG112	0.172019	-0.342107	0.000000	0.000000	-0.083921	0.026696
6	AG112	0.134697	-0.006648	0.000000	0.000000	0.049296	0.141214
7	AG112	0.172963	-0.019143	0.000000	0.000000	-0.042192	0.042980
8	AG112	0.099565	-0.166777	0.000000	0.000000	0.035798	0.035073
9	AG112	0.139293	-0.083251	0.000000	0.000000	-0.020964	0.064269
10	AG112	0.153857	-0.083776	0.000000	0.000000	-0.038736	0.012219
1	AG139	-0.058004	0.266137	0.000000	0.000000	-0.036499	-0.132839
2	AG139	-0.040786	-0.005325	0.000000	0.000000	-0.017659	0.071239
3	AG139	-0.045250	0.203051	0.000000	0.000000	0.040116	0.133842
4	AG139	-0.024050	-0.184046	0.000000	0.000000	-0.010936	0.189684
5	AG139	0.071898	-0.073199	0.000000	0.000000	-0.031795	-0.263931
6	AG139	-0.047422	-0.175956	0.000000	0.000000	-0.005384	-0.040743
7	AG139	-0.015844	-0.004207	0.000000	0.000000	-0.007604	-0.122157
8	AG139	-0.058389	0.224094	0.000000	0.000000	0.033739	-0.066270
9	AG139	-0.038457	0.089441	0.000000	0.000000	0.002894	-0.208761
10	AG139	-0.019487	0.143152	0.000000	0.000000	0.058470	-0.127383
1	AG142	0.143966	0.399480	0.000000	0.000000	0.021485	-0.115155
2	AG142	0.180091	0.171841	0.000000	0.000000	0.051328	0.046275
3	AG142	0.168851	0.299104	0.000000	0.000000	-0.068607	-0.087881
4	AG142	0.115811	0.267593	0.000000	0.000000	0.004766	0.015443
5	AG142	0.098376	0.450816	0.000000	0.000000	-0.013062	0.098037
6	AG142	0.145881	0.252243	0.000000	0.000000	0.014655	0.040750
7	AG142	0.153025	0.459742	0.000000	0.000000	-0.052647	-0.196644
8	AG142	0.162358	0.329342	0.000000	0.000000	-0.035119	-0.038381
9	AG142	0.132574	0.241838	0.000000	0.000000	-0.070192	-0.072193
10	AG142	0.147621	0.331914	0.000000	0.000000	0.037949	0.086884
1	GD14	0.019911	-0.120436	0.000000	0.000000	-0.003806	0.162320
2	GD14	0.021513	0.164825	0.000000	0.000000	-0.029225	0.199014
3	GD14	-0.028647	0.389092	0.000000	0.000000	-0.038924	0.236741
4	GD14	-0.032105	-0.047935	0.000000	0.000000	0.017569	0.240422
5	GD14	0.027736	-0.124368	0.000000	0.000000	-0.058787	0.092440
6	GD14	0.027107	0.096331	0.000000	0.000000	0.001973	0.187493
7	GD14	0.018487	-0.477112	0.000000	0.000000	-0.051226	0.248348
8	GD14	-0.015430	-0.243998	0.000000	0.000000	0.031227	0.324947
9	GD14	-0.009491	-0.328970	0.000000	0.000000	-0.037382	0.280928
10	GD14	0.029901	-0.181584	0.000000	0.000000	0.021666	0.325287
1	GD15	-0.003018	-0.024944	0.000000	0.000000	-0.015001	-0.146473
2	GD15	-0.023512	0.103981	0.000000	0.000000	0.055371	-0.020010
3	GD15	-0.023501	-0.023253	0.000000	0.000000	0.077760	-0.001910
4	GD15	0.029650	0.135505	0.000000	0.000000	0.031527	-0.090995
5	GD15	-0.004377	-0.329515	0.000000	0.000000	0.029834	-0.009193
6	GD15	-0.027180	-0.141942	0.000000	0.000000	-0.052425	-0.052639
7	GD15	-0.043958	0.209386	0.000000	0.000000	-0.008557	-0.023024
8	GD15	-0.004714	-0.095833	0.000000	0.000000	0.040698	-0.023779
9	GD15	-0.052826	0.032101	0.000000	0.000000	-0.034514	-0.123946
10	GD15	-0.035379	-0.428105	0.000000	0.000000	-0.011738	-0.112270
1	GD16	-0.213896	-0.189681	0.000000	0.000000	0.034176	0.008901
2	GD16	-0.217991	0.111139	0.000000	0.000000	0.019557	-0.127295
3	GD16	-0.188990	-0.169766	0.000000	0.000000	0.032020	0.007124
4	GD16	-0.218090	0.342692	0.000000	0.000000	-0.015093	-0.243866
5	GD16	-0.233048	-0.323036	0.000000	0.000000	-0.038502	0.019471
6	GD16	-0.231581	-0.200302	0.000000	0.000000	0.050767	-0.033302
7	GD16	-0.230745	-0.092559	0.000000	0.000000	-0.011626	-0.100493
8	GD16	-0.240019	0.452393	0.000000	0.000000	0.000134	-0.166096
9	GD16	-0.234681	0.109165	0.000000	0.000000	0.016350	-0.065888
10	GD16	-0.274766	0.204385	0.000000	0.000000	0.039328	0.012937
