Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
b1	0.163988	0.1639662	0.1637226	0.163776	0.164325	0.1638364	0.1635353	0.164419	0.1636274	0.1641948	0.1638345	0.1637048	0.1634288	0.1644504	0.1634047	0.1640738	0.1638797	0.1641011	0.1641401	0.1639168	0.1644489	0.1637326	0.1639334	0.164256	0.1641922	0.1640836	0.1640909	0.163857	0.1635874	0.1639054	0.1635642	0.1641054	0.1638862	0.1636568	0.1639527	0.1639127	0.1636018	0.1635724	0.1638512	0.1639129	0.1638521	0.163582	0.1640524	0.1636148	0.1638914	0.1636766	0.1639473	0.1638815	0.1638168	0.1638188
b2	0.2145197	0.1782975	0.1783442	0.1788172	0.2179663	0.1784171	0.1775698	0.2702403	0.1774256	0.2915189	0.1783012	0.1770158	0.1784313	0.2771498	0.1771652	0.1780346	0.1777448	0.1784883	0.2116545	0.1776392	0.2878841	0.1776515	0.3126088	0.2296652	0.2639127	0.1784391	0.1785999	0.1779322	0.178405	0.1782681	0.1770731	0.250029	0.178221	0.177711	0.1774662	0.1783405	0.1778247	0.1784147	0.178287	0.1778373	0.1780544	0.1771269	0.1778201	0.1777896	0.178046	0.177721	0.1783626	0.3126096	0.1783454	0.1779795
b3	0.2851398	0.2707254	0.2720923	0.2748302	0.2823059	0.2717122	0.274639	0.2840189	0.2740331	0.282605	0.2732858	0.2734113	0.272832	0.2833597	0.275148	0.2827569	0.2721618	0.2754593	0.2846827	0.2780463	0.2818616	0.2737998	0.3218255	0.2841852	0.2857787	0.2770255	0.2739275	0.2751505	0.269826	0.274774	0.274176	0.2833697	0.2733382	0.2748401	0.2804583	0.275091	0.2730497	0.2700253	0.2741995	0.2761273	0.2729061	0.272953	0.2768067	0.2733217	0.2742947	0.2728706	0.2749973	0.3195553	0.2743851	0.2757393
eta_deltaCB_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_deltaSC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_rhoC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omega_deltaCB	0.1764103	0.05579585	0.04884265	0.08809446	0.2096614	0.03189569	0.02171674	0.6458912	0.03213204	0.8216633	0.04136176	0.01785267	0.02879454	0.6997087	0.02310953	0.08763134	0.04583797	0.08089133	0.1603892	0.07063269	0.7969163	0.03770037	240.910992	0.3515192	0.5901261	0.06596777	0.07344874	0.08260308	0.03497077	0.08418826	0.02738858	0.5078779	0.08112808	0.0472087	0.04368237	0.09142683	0.03986492	0.02679086	0.09214652	0.07601198	0.08058079	0.02376067	0.07369952	0.05604211	0.06616448	0.03529679	0.08239995	196.324402	0.0869554	0.07427163
omega_deltaSC	0.300768	0.2675888	0.2613412	0.2578317	0.3279737	0.266645	0.2455663	0.1107681	0.2557269	0.09917593	0.2517605	0.2467786	0.2536522	0.1331435	0.2395375	0.2178655	0.2605086	0.2517507	0.2973991	0.231971	0.07088274	0.2449405	0.3195721	0.1194767	0.1594696	0.2477474	0.2580864	0.2478765	0.2694356	0.2602056	0.2426319	0.1169305	0.2632697	0.2495778	0.2263958	0.2547686	0.2546576	0.274932	0.2535145	0.2384315	0.261498	0.253444	0.2455379	0.2587752	0.2538669	0.2632408	0.2549733	0.3349557	0.2613126	0.2514285
omega_rhoB	0.1385525	0.1182606	0.1239954	0.05789071	0.1312741	0.1378747	0.1403196	0.1352321	0.1356111	0.1345303	0.1308019	0.1437045	0.1405446	0.1366813	0.1418978	0.03452515	0.1241849	0.05965411	0.1359508	0.0872235	0.134499	0.1397601	0.0763883	0.1760676	0.1417879	0.09156889	0.08599439	0.05068572	0.1377103	0.0456249	0.1425549	0.1587557	0.06030083	0.1174787	0.1113394	0.03986488	0.1288868	0.1365751	0.02509212	0.06608749	0.05007448	0.1440159	0.06180165	0.1043289	0.09409129	0.1290249	0.04889231	0.07584845	0.04306225	0.06837482
omega_rhoS	0.1189631	0.1192129	0.1190282	0.1194355	0.1188826	0.1194547	0.1190675	0.1183395	0.1190216	0.1178896	0.1192685	0.1186766	0.1199413	0.1183187	0.1191665	0.1189016	0.1188147	0.1191121	0.119312	0.1184974	0.1181031	0.1190265	0.1190686	0.1188663	0.1183963	0.1192322	0.1190169	0.1186817	0.1195416	0.1189508	0.1187807	0.1180675	0.1188824	0.1188398	0.1194238	0.1191548	0.1192542	0.1194956	0.1191587	0.1190595	0.1185352	0.1185016	0.1188385	0.1188084	0.1187624	0.1189645	0.1187727	0.1191168	0.1190114	0.1190394
rhoB_pop	0.5324667	0.2593415	0.2615761	0.2637767	0.5509252	0.2634618	0.2572364	0.710758	0.2583094	0.7476427	0.2596234	0.2560203	0.2610167	0.7240682	0.2533065	0.2620464	0.2567483	0.2532737	0.5197683	0.2552616	0.742402	0.2560017	0.829515	0.582366	0.6962012	0.2607137	0.2575225	0.2497008	0.2619276	0.2546395	0.2555822	0.6574241	0.249173	0.2567636	0.256493	0.2621833	0.2597143	0.2620275	0.25411	0.2456639	0.2522398	0.25624	0.2529003	0.2531426	0.2560204	0.2567274	0.2535947	0.8285059	0.2571626	0.2549484
rhoC_pop	1.250187	3.356826	3.359062	3.177453	1.219972	3.209103	3.496969	0.871266	3.6321	0.7796155	3.294288	3.744445	3.178031	0.8402533	3.568268	3.458137	3.65648	3.364294	1.283669	3.62381	0.7928308	3.3591	2.640334	1.11418	0.9018515	3.394789	3.372811	3.568315	3.238703	3.41879	3.58894	0.972206	3.451047	3.765001	3.840154	3.252029	3.480209	3.36493	3.243467	3.585439	3.682918	3.725105	3.745472	3.750351	3.627274	3.688244	3.448523	2.611201	3.353441	3.72854
rhoS_pop	0.6166262	0.6136531	0.6133936	0.6134597	0.6165757	0.6137208	0.6136713	0.6162318	0.6135476	0.6162674	0.6136341	0.613242	0.6139969	0.6162815	0.6138789	0.6129884	0.613696	0.6135781	0.6162763	0.6133144	0.6159675	0.6138381	0.6195203	0.61712	0.6164438	0.6133538	0.6134717	0.6135672	0.6138202	0.6137509	0.6136261	0.6165271	0.6137245	0.6134589	0.6130585	0.6137664	0.6136787	0.6139021	0.6137099	0.6134693	0.6133728	0.6136993	0.612914	0.6132428	0.6133781	0.6136441	0.6134909	0.6194455	0.6134764	0.6132848
-2LL	1780.44	1761.4	1761.37	1761.29	1781.52	1761.2	1760.98	1798.8	1761.12	1804.47	1761.3	1760.85	1761.14	1800.74	1760.96	1761.18	1761.35	1761.27	1779.25	1761.36	1803.41	1761.27	1806.68	1786.51	1797.09	1761.42	1761.28	1761.12	1761.4	1761.12	1761.01	1793.16	1761.37	1761.28	1761.25	1761.08	1761.41	1761.08	1761.15	1761.16	1761.12	1760.94	1761.14	1761.22	1761.52	1761.03	1761.21	1807	1761.19	1761.32
