rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.568977	-0.258230	3.148164	0.000000	-0.148373	-0.200612
2	AG111	0.592650	-0.464338	3.148164	0.000000	-0.199833	-0.200612
3	AG111	0.617994	-0.137484	3.148164	0.000000	-0.237668	-0.200612
4	AG111	0.628193	-0.242887	3.148164	0.000000	-0.118709	-0.200612
5	AG111	0.678769	-0.358101	3.148164	0.000000	-0.104459	-0.200612
6	AG111	0.544655	-0.389358	3.148164	0.000000	-0.161024	-0.200612
7	AG111	0.601120	-0.061392	3.148164	0.000000	-0.090687	-0.200612
8	AG111	0.623439	-0.130325	3.148164	0.000000	-0.040961	-0.200612
9	AG111	0.592411	-0.397385	3.148164	0.000000	-0.159470	-0.200612
10	AG111	0.644140	-0.261189	3.148164	0.000000	-0.170412	-0.200612
1	AG112	0.726953	0.218187	3.148164	0.000000	-0.241248	-0.200612
2	AG112	0.694849	0.084512	3.148164	0.000000	-0.263765	-0.200612
3	AG112	0.772236	0.516125	3.148164	0.000000	-0.252352	-0.200612
4	AG112	0.739193	0.148089	3.148164	0.000000	-0.241140	-0.200612
5	AG112	0.749286	0.432647	3.148164	0.000000	-0.231811	-0.200612
6	AG112	0.759517	-0.079984	3.148164	0.000000	-0.343805	-0.200612
7	AG112	0.725282	0.129574	3.148164	0.000000	-0.241803	-0.200612
8	AG112	0.731209	0.407032	3.148164	0.000000	-0.284447	-0.200612
9	AG112	0.706806	-0.236433	3.148164	0.000000	-0.338670	-0.200612
10	AG112	0.762376	0.814062	3.148164	0.000000	-0.209772	-0.200612
1	AG139	0.575128	0.072623	3.148164	0.000000	-0.239700	-0.200612
2	AG139	0.605389	0.244187	3.148164	0.000000	-0.138547	-0.200612
3	AG139	0.589597	0.158267	3.148164	0.000000	-0.200026	-0.200612
4	AG139	0.612851	0.376121	3.148164	0.000000	-0.160644	-0.200612
5	AG139	0.590566	0.216951	3.148164	0.000000	-0.158494	-0.200612
6	AG139	0.591234	-0.089049	3.148164	0.000000	-0.214297	-0.200612
7	AG139	0.575002	0.254026	3.148164	0.000000	-0.133484	-0.200612
8	AG139	0.580623	0.266768	3.148164	0.000000	-0.137846	-0.200612
9	AG139	0.582541	-0.043417	3.148164	0.000000	-0.166580	-0.200612
10	AG139	0.571655	0.062172	3.148164	0.000000	-0.141836	-0.200612
1	AG142	0.741291	0.546955	3.148164	0.000000	-0.114483	-0.200612
2	AG142	0.749483	0.544060	3.148164	0.000000	-0.100669	-0.200612
3	AG142	0.752413	0.485226	3.148164	0.000000	-0.145333	-0.200612
4	AG142	0.804045	0.774927	3.148164	0.000000	-0.160478	-0.200612
5	AG142	0.735483	0.628780	3.148164	0.000000	-0.259818	-0.200612
6	AG142	0.734003	0.753034	3.148164	0.000000	-0.216224	-0.200612
7	AG142	0.751957	0.361103	3.148164	0.000000	-0.173364	-0.200612
8	AG142	0.720326	0.481042	3.148164	0.000000	-0.189336	-0.200612
9	AG142	0.756953	0.637416	3.148164	0.000000	-0.149047	-0.200612
10	AG142	0.735191	0.567152	3.148164	0.000000	-0.187665	-0.200612
1	GD14	0.638590	0.260554	3.148164	0.000000	-0.271773	-0.200612
2	GD14	0.576446	0.107262	3.148164	0.000000	-0.332656	-0.200612
3	GD14	0.594673	-0.147039	3.148164	0.000000	-0.362787	-0.200612
4	GD14	0.577308	-0.100959	3.148164	0.000000	-0.329272	-0.200612
5	GD14	0.601964	0.085894	3.148164	0.000000	-0.259195	-0.200612
6	GD14	0.628218	-0.100490	3.148164	0.000000	-0.270040	-0.200612
7	GD14	0.599122	-0.010531	3.148164	0.000000	-0.379752	-0.200612
8	GD14	0.600625	0.041534	3.148164	0.000000	-0.351255	-0.200612
9	GD14	0.579041	-0.040875	3.148164	0.000000	-0.370011	-0.200612
10	GD14	0.624771	-0.162313	3.148164	0.000000	-0.352873	-0.200612
1	GD15	0.644344	-0.096713	3.148164	0.000000	-0.161723	-0.200612
2	GD15	0.603520	0.376007	3.148164	0.000000	-0.103833	-0.200612
3	GD15	0.603525	0.150848	3.148164	0.000000	-0.122825	-0.200612
4	GD15	0.611133	0.137584	3.148164	0.000000	-0.115918	-0.200612
5	GD15	0.609667	0.020766	3.148164	0.000000	-0.125473	-0.200612
6	GD15	0.570651	0.119349	3.148164	0.000000	-0.184628	-0.200612
7	GD15	0.574434	0.030812	3.148164	0.000000	-0.163218	-0.200612
8	GD15	0.581741	0.218305	3.148164	0.000000	-0.147372	-0.200612
9	GD15	0.614062	-0.084598	3.148164	0.000000	-0.235533	-0.200612
10	GD15	0.586177	0.204479	3.148164	0.000000	-0.126134	-0.200612
1	GD16	0.375753	-0.083723	3.148164	0.000000	-0.133334	-0.200612
2	GD16	0.423313	0.111776	3.148164	0.000000	-0.125766	-0.200612
3	GD16	0.356528	0.036005	3.148164	0.000000	-0.095677	-0.200612
4	GD16	0.392450	-0.155810	3.148164	0.000000	-0.154814	-0.200612
5	GD16	0.380451	0.032610	3.148164	0.000000	-0.123853	-0.200612
6	GD16	0.404405	0.119755	3.148164	0.000000	-0.098983	-0.200612
7	GD16	0.363753	0.378269	3.148164	0.000000	-0.102821	-0.200612
8	GD16	0.396724	0.182587	3.148164	0.000000	-0.097380	-0.200612
9	GD16	0.348678	0.138923	3.148164	0.000000	-0.125553	-0.200612
10	GD16	0.382296	0.278592	3.148164	0.000000	-0.092200	-0.200612
