rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	0.005596	-0.283023	0.000000	0.000000	0.114598	0.000000
2	AG111	-0.002797	-0.703634	0.000000	0.000000	-0.035506	0.000000
3	AG111	-0.030048	0.050618	0.000000	0.000000	0.171220	0.000000
4	AG111	-0.006607	-0.744553	0.000000	0.000000	-0.028279	0.000000
5	AG111	-0.014145	-0.397445	0.000000	0.000000	0.047552	0.000000
6	AG111	-0.019430	-0.740083	0.000000	0.000000	-0.037582	0.000000
7	AG111	-0.003622	-0.143063	0.000000	0.000000	0.106685	0.000000
8	AG111	-0.009400	-0.445651	0.000000	0.000000	0.073017	0.000000
9	AG111	-0.017853	0.011387	0.000000	0.000000	0.033155	0.000000
10	AG111	0.005908	-0.038043	0.000000	0.000000	0.065481	0.000000
1	AG112	0.156600	-0.216693	0.000000	0.000000	-0.093607	0.000000
2	AG112	0.140681	-0.261254	0.000000	0.000000	-0.112706	0.000000
3	AG112	0.140560	0.327598	0.000000	0.000000	-0.041584	0.000000
4	AG112	0.096543	0.061086	0.000000	0.000000	-0.117405	0.000000
5	AG112	0.140003	-0.185924	0.000000	0.000000	-0.059843	0.000000
6	AG112	0.062294	-0.409639	0.000000	0.000000	-0.174463	0.000000
7	AG112	0.090711	-0.042572	0.000000	0.000000	-0.129613	0.000000
8	AG112	0.178516	0.027130	0.000000	0.000000	-0.026352	0.000000
9	AG112	0.151782	-0.015178	0.000000	0.000000	-0.100613	0.000000
10	AG112	0.090059	0.312901	0.000000	0.000000	-0.036015	0.000000
1	AG139	-0.025919	0.023623	0.000000	0.000000	0.038861	0.000000
2	AG139	-0.068599	-0.035967	0.000000	0.000000	0.033153	0.000000
3	AG139	-0.071289	0.036265	0.000000	0.000000	0.032337	0.000000
4	AG139	-0.022647	0.076107	0.000000	0.000000	0.058276	0.000000
5	AG139	-0.083882	0.062911	0.000000	0.000000	-0.083288	0.000000
6	AG139	-0.054171	-0.130542	0.000000	0.000000	-0.022380	0.000000
7	AG139	-0.023866	-0.049185	0.000000	0.000000	0.035594	0.000000
8	AG139	-0.039501	0.213535	0.000000	0.000000	0.022786	0.000000
9	AG139	-0.040901	0.193989	0.000000	0.000000	0.126615	0.000000
10	AG139	-0.034181	-0.175018	0.000000	0.000000	-0.003336	0.000000
1	AG142	0.139013	0.272165	0.000000	0.000000	0.017906	0.000000
2	AG142	0.171549	0.036867	0.000000	0.000000	-0.076230	0.000000
3	AG142	0.133743	0.456059	0.000000	0.000000	0.127068	0.000000
4	AG142	0.193578	0.295699	0.000000	0.000000	0.085319	0.000000
5	AG142	0.141378	0.118658	0.000000	0.000000	-0.094017	0.000000
6	AG142	0.120545	0.294411	0.000000	0.000000	-0.006591	0.000000
7	AG142	0.115277	0.223007	0.000000	0.000000	0.011215	0.000000
8	AG142	0.180857	0.356301	0.000000	0.000000	-0.056036	0.000000
9	AG142	0.125879	0.226146	0.000000	0.000000	-0.004759	0.000000
10	AG142	0.145322	0.366084	0.000000	0.000000	0.030120	0.000000
1	GD14	0.015347	-0.020889	0.000000	0.000000	-0.111856	0.000000
2	GD14	0.012544	-0.072022	0.000000	0.000000	-0.145278	0.000000
3	GD14	0.004618	-0.101213	0.000000	0.000000	-0.111856	0.000000
4	GD14	0.054302	0.057573	0.000000	0.000000	-0.128530	0.000000
5	GD14	0.031338	0.135893	0.000000	0.000000	-0.141750	0.000000
6	GD14	0.025236	0.128525	0.000000	0.000000	-0.133413	0.000000
7	GD14	-0.054957	-0.112371	0.000000	0.000000	-0.164317	0.000000
8	GD14	0.072015	0.003599	0.000000	0.000000	-0.087191	0.000000
9	GD14	0.034715	-0.119086	0.000000	0.000000	-0.111685	0.000000
10	GD14	0.029056	0.048489	0.000000	0.000000	-0.115361	0.000000
1	GD15	-0.044833	0.087984	0.000000	0.000000	0.143000	0.000000
2	GD15	0.006547	-0.253631	0.000000	0.000000	0.167129	0.000000
3	GD15	-0.004037	0.152787	0.000000	0.000000	0.027982	0.000000
4	GD15	0.040435	0.135813	0.000000	0.000000	-0.024551	0.000000
5	GD15	-0.002151	-0.082724	0.000000	0.000000	0.078121	0.000000
6	GD15	0.006358	-0.195870	0.000000	0.000000	0.073760	0.000000
7	GD15	-0.011996	-0.354831	0.000000	0.000000	0.037092	0.000000
8	GD15	-0.004247	0.185209	0.000000	0.000000	0.128606	0.000000
9	GD15	-0.045017	0.085529	0.000000	0.000000	0.057781	0.000000
10	GD15	-0.000073	0.114121	0.000000	0.000000	0.034119	0.000000
1	GD16	-0.216179	-0.059824	0.000000	0.000000	-0.028089	0.000000
2	GD16	-0.279955	0.210048	0.000000	0.000000	0.034843	0.000000
3	GD16	-0.236308	0.102867	0.000000	0.000000	0.043989	0.000000
4	GD16	-0.207880	0.157796	0.000000	0.000000	0.125270	0.000000
5	GD16	-0.239965	0.190787	0.000000	0.000000	0.096325	0.000000
6	GD16	-0.194025	-0.019661	0.000000	0.000000	0.076210	0.000000
7	GD16	-0.201783	0.014436	0.000000	0.000000	0.080869	0.000000
8	GD16	-0.231705	0.044196	0.000000	0.000000	0.050246	0.000000
9	GD16	-0.197215	-0.097034	0.000000	0.000000	0.100871	0.000000
10	GD16	-0.242949	0.096751	0.000000	0.000000	0.017944	0.000000
