parameter	value	se_sa	rse_sa
rhoS_pop	0.61230279549930056	0.04696773085668913	7.67067065542129800
eta_deltaSC_pop	0.00000000000000000		
rhoC_pop	6.39215275266972771	nan	nan
eta_rhoC_pop	0.00000000000000000		
eta_deltaCB_pop	0.00000000000000000		
rhoB_pop	0.29009670006961202	nan	nan
omega_rhoS	0.12125932339943206	0.03439534761494163	28.36511589434015335
omega_deltaSC	0.23451814241108060	0.14509919031354834	61.87120059104332626
b1	0.16972951410803969	0.02340993669229345	13.79249614618709430
b2	0.18809920055208870	0.02412364677136931	12.82495975557798928
b3	0.32361633487238639	0.05722965062064010	17.68441344075163002
