rep	id	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	AG111	-0.016779	0.064508	0.000000	0.000000	0.000000	0.000000
2	AG111	-0.017994	-0.157574	0.000000	0.000000	0.000000	0.000000
3	AG111	-0.026274	-0.235025	0.000000	0.000000	0.000000	0.000000
4	AG111	0.029006	-0.373980	0.000000	0.000000	0.000000	0.000000
5	AG111	-0.031933	-0.186460	0.000000	0.000000	0.000000	0.000000
6	AG111	-0.006288	-0.640064	0.000000	0.000000	0.000000	0.000000
7	AG111	-0.033614	0.124692	0.000000	0.000000	0.000000	0.000000
8	AG111	-0.054929	-0.308349	0.000000	0.000000	0.000000	0.000000
9	AG111	-0.025045	-0.470511	0.000000	0.000000	0.000000	0.000000
10	AG111	0.006316	-0.484206	0.000000	0.000000	0.000000	0.000000
1	AG112	0.169249	0.006549	0.000000	0.000000	0.000000	0.000000
2	AG112	0.171848	0.245926	0.000000	0.000000	0.000000	0.000000
3	AG112	0.126367	0.435958	0.000000	0.000000	0.000000	0.000000
4	AG112	0.143114	0.451687	0.000000	0.000000	0.000000	0.000000
5	AG112	0.174596	-0.139677	0.000000	0.000000	0.000000	0.000000
6	AG112	0.186941	0.130109	0.000000	0.000000	0.000000	0.000000
7	AG112	0.126621	0.057984	0.000000	0.000000	0.000000	0.000000
8	AG112	0.150514	-0.046475	0.000000	0.000000	0.000000	0.000000
9	AG112	0.142266	0.121576	0.000000	0.000000	0.000000	0.000000
10	AG112	0.188246	0.377541	0.000000	0.000000	0.000000	0.000000
1	AG139	-0.055182	-0.139199	0.000000	0.000000	0.000000	0.000000
2	AG139	-0.051055	-0.173241	0.000000	0.000000	0.000000	0.000000
3	AG139	-0.033337	0.000244	0.000000	0.000000	0.000000	0.000000
4	AG139	-0.077376	0.139545	0.000000	0.000000	0.000000	0.000000
5	AG139	-0.021335	0.087453	0.000000	0.000000	0.000000	0.000000
6	AG139	-0.056684	0.194106	0.000000	0.000000	0.000000	0.000000
7	AG139	-0.062094	-0.034255	0.000000	0.000000	0.000000	0.000000
8	AG139	-0.027925	0.152837	0.000000	0.000000	0.000000	0.000000
9	AG139	-0.052142	0.016936	0.000000	0.000000	0.000000	0.000000
10	AG139	0.020291	0.025137	0.000000	0.000000	0.000000	0.000000
1	AG142	0.199500	0.127898	0.000000	0.000000	0.000000	0.000000
2	AG142	0.082728	0.151257	0.000000	0.000000	0.000000	0.000000
3	AG142	0.138877	0.183558	0.000000	0.000000	0.000000	0.000000
4	AG142	0.093962	0.131804	0.000000	0.000000	0.000000	0.000000
5	AG142	0.133865	0.173370	0.000000	0.000000	0.000000	0.000000
6	AG142	0.148673	0.094407	0.000000	0.000000	0.000000	0.000000
7	AG142	0.117446	0.361132	0.000000	0.000000	0.000000	0.000000
8	AG142	0.121565	0.055836	0.000000	0.000000	0.000000	0.000000
9	AG142	0.098390	0.191696	0.000000	0.000000	0.000000	0.000000
10	AG142	0.124708	0.100164	0.000000	0.000000	0.000000	0.000000
1	GD14	0.066357	0.019163	0.000000	0.000000	0.000000	0.000000
2	GD14	0.045479	0.346375	0.000000	0.000000	0.000000	0.000000
3	GD14	-0.011832	0.479982	0.000000	0.000000	0.000000	0.000000
4	GD14	0.061641	0.137559	0.000000	0.000000	0.000000	0.000000
5	GD14	0.030781	0.275448	0.000000	0.000000	0.000000	0.000000
6	GD14	0.068555	0.323264	0.000000	0.000000	0.000000	0.000000
7	GD14	0.065370	0.244033	0.000000	0.000000	0.000000	0.000000
8	GD14	0.022555	0.319249	0.000000	0.000000	0.000000	0.000000
9	GD14	0.075276	0.050602	0.000000	0.000000	0.000000	0.000000
10	GD14	0.057062	0.256944	0.000000	0.000000	0.000000	0.000000
1	GD15	0.001353	-0.256074	0.000000	0.000000	0.000000	0.000000
2	GD15	-0.024532	-0.019048	0.000000	0.000000	0.000000	0.000000
3	GD15	-0.003141	-0.399970	0.000000	0.000000	0.000000	0.000000
4	GD15	-0.020338	-0.210077	0.000000	0.000000	0.000000	0.000000
5	GD15	-0.007784	0.071164	0.000000	0.000000	0.000000	0.000000
6	GD15	0.008667	-0.397879	0.000000	0.000000	0.000000	0.000000
7	GD15	0.000478	-0.000683	0.000000	0.000000	0.000000	0.000000
8	GD15	-0.037679	-0.218100	0.000000	0.000000	0.000000	0.000000
9	GD15	0.023236	-0.121377	0.000000	0.000000	0.000000	0.000000
10	GD15	-0.044493	-0.204024	0.000000	0.000000	0.000000	0.000000
1	GD16	-0.185871	-0.033458	0.000000	0.000000	0.000000	0.000000
2	GD16	-0.266963	-0.179731	0.000000	0.000000	0.000000	0.000000
3	GD16	-0.223986	-0.461395	0.000000	0.000000	0.000000	0.000000
4	GD16	-0.280806	0.024179	0.000000	0.000000	0.000000	0.000000
5	GD16	-0.264180	-0.173930	0.000000	0.000000	0.000000	0.000000
6	GD16	-0.223164	-0.199532	0.000000	0.000000	0.000000	0.000000
7	GD16	-0.219931	-0.071931	0.000000	0.000000	0.000000	0.000000
8	GD16	-0.254973	-0.231974	0.000000	0.000000	0.000000	0.000000
9	GD16	-0.240067	0.109929	0.000000	0.000000	0.000000	0.000000
10	GD16	-0.253060	-0.190640	0.000000	0.000000	0.000000	0.000000
