rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB
1	AG111	0.580595	-0.022870	2.319849	0.000000	0.000000	-0.461749
2	AG111	0.648741	0.068159	2.319849	0.000000	0.000000	-0.461749
3	AG111	0.599327	0.048396	2.319849	0.000000	0.000000	-0.461749
4	AG111	0.647970	-0.053769	2.319849	0.000000	0.000000	-0.461749
5	AG111	0.594305	-0.061449	2.319849	0.000000	0.000000	-0.461749
6	AG111	0.602602	-0.052440	2.319849	0.000000	0.000000	-0.461749
7	AG111	0.576963	0.034181	2.319849	0.000000	0.000000	-0.461749
8	AG111	0.549105	-0.040490	2.319849	0.000000	0.000000	-0.461749
9	AG111	0.617340	0.019601	2.319849	0.000000	0.000000	-0.461749
10	AG111	0.621430	0.019717	2.319849	0.000000	0.000000	-0.461749
1	AG112	0.775816	-0.069083	2.319849	0.000000	0.000000	-0.461749
2	AG112	0.724557	0.021408	2.319849	0.000000	0.000000	-0.461749
3	AG112	0.781448	0.009097	2.319849	0.000000	0.000000	-0.461749
4	AG112	0.766788	0.022694	2.319849	0.000000	0.000000	-0.461749
5	AG112	0.721438	0.061678	2.319849	0.000000	0.000000	-0.461749
6	AG112	0.794513	0.047508	2.319849	0.000000	0.000000	-0.461749
7	AG112	0.820479	-0.003918	2.319849	0.000000	0.000000	-0.461749
8	AG112	0.813395	0.040696	2.319849	0.000000	0.000000	-0.461749
9	AG112	0.800194	-0.050936	2.319849	0.000000	0.000000	-0.461749
10	AG112	0.760643	0.039294	2.319849	0.000000	0.000000	-0.461749
1	AG139	0.578635	-0.098987	2.319849	0.000000	0.000000	-0.461749
2	AG139	0.599808	-0.015384	2.319849	0.000000	0.000000	-0.461749
3	AG139	0.617932	0.017685	2.319849	0.000000	0.000000	-0.461749
4	AG139	0.632188	-0.044230	2.319849	0.000000	0.000000	-0.461749
5	AG139	0.564844	0.086280	2.319849	0.000000	0.000000	-0.461749
6	AG139	0.554572	0.033928	2.319849	0.000000	0.000000	-0.461749
7	AG139	0.637285	-0.073347	2.319849	0.000000	0.000000	-0.461749
8	AG139	0.560936	-0.064194	2.319849	0.000000	0.000000	-0.461749
9	AG139	0.599585	-0.005623	2.319849	0.000000	0.000000	-0.461749
10	AG139	0.576074	0.059883	2.319849	0.000000	0.000000	-0.461749
1	AG142	0.742043	0.031672	2.319849	0.000000	0.000000	-0.461749
2	AG142	0.748472	0.070541	2.319849	0.000000	0.000000	-0.461749
3	AG142	0.732636	0.034071	2.319849	0.000000	0.000000	-0.461749
4	AG142	0.756518	-0.013161	2.319849	0.000000	0.000000	-0.461749
5	AG142	0.810425	-0.010766	2.319849	0.000000	0.000000	-0.461749
6	AG142	0.782085	0.040315	2.319849	0.000000	0.000000	-0.461749
7	AG142	0.775521	-0.037431	2.319849	0.000000	0.000000	-0.461749
8	AG142	0.821176	-0.044121	2.319849	0.000000	0.000000	-0.461749
9	AG142	0.726154	0.031046	2.319849	0.000000	0.000000	-0.461749
10	AG142	0.808925	0.009466	2.319849	0.000000	0.000000	-0.461749
1	GD14	0.714879	-0.016907	2.319849	0.000000	0.000000	-0.461749
2	GD14	0.669073	0.028659	2.319849	0.000000	0.000000	-0.461749
3	GD14	0.715922	0.042845	2.319849	0.000000	0.000000	-0.461749
4	GD14	0.691440	0.050481	2.319849	0.000000	0.000000	-0.461749
5	GD14	0.661552	0.043372	2.319849	0.000000	0.000000	-0.461749
6	GD14	0.692969	-0.066411	2.319849	0.000000	0.000000	-0.461749
7	GD14	0.623661	-0.014082	2.319849	0.000000	0.000000	-0.461749
8	GD14	0.692171	0.033549	2.319849	0.000000	0.000000	-0.461749
9	GD14	0.659166	0.001165	2.319849	0.000000	0.000000	-0.461749
10	GD14	0.657118	0.099088	2.319849	0.000000	0.000000	-0.461749
1	GD15	0.661987	-0.018150	2.319849	0.000000	0.000000	-0.461749
2	GD15	0.581622	-0.076176	2.319849	0.000000	0.000000	-0.461749
3	GD15	0.633291	0.012029	2.319849	0.000000	0.000000	-0.461749
4	GD15	0.636194	-0.021092	2.319849	0.000000	0.000000	-0.461749
5	GD15	0.617062	-0.057207	2.319849	0.000000	0.000000	-0.461749
6	GD15	0.661171	-0.026793	2.319849	0.000000	0.000000	-0.461749
7	GD15	0.663809	-0.038556	2.319849	0.000000	0.000000	-0.461749
8	GD15	0.646218	-0.014195	2.319849	0.000000	0.000000	-0.461749
9	GD15	0.619343	-0.016108	2.319849	0.000000	0.000000	-0.461749
10	GD15	0.582033	0.036149	2.319849	0.000000	0.000000	-0.461749
1	GD16	0.416528	0.004082	2.319849	0.000000	0.000000	-0.461749
2	GD16	0.386566	0.022219	2.319849	0.000000	0.000000	-0.461749
3	GD16	0.365826	0.043207	2.319849	0.000000	0.000000	-0.461749
4	GD16	0.426177	-0.076717	2.319849	0.000000	0.000000	-0.461749
5	GD16	0.407607	-0.016087	2.319849	0.000000	0.000000	-0.461749
6	GD16	0.362553	-0.053232	2.319849	0.000000	0.000000	-0.461749
7	GD16	0.420958	0.011289	2.319849	0.000000	0.000000	-0.461749
8	GD16	0.418894	-0.064963	2.319849	0.000000	0.000000	-0.461749
9	GD16	0.357714	-0.038918	2.319849	0.000000	0.000000	-0.461749
10	GD16	0.437470	0.024160	2.319849	0.000000	0.000000	-0.461749
