Parameters	Run_1	Run_2	Run_3	Run_4	Run_5	Run_6	Run_7	Run_8	Run_9	Run_10	Run_11	Run_12	Run_13	Run_14	Run_15	Run_16	Run_17	Run_18	Run_19	Run_20	Run_21	Run_22	Run_23	Run_24	Run_25	Run_26	Run_27	Run_28	Run_29	Run_30	Run_31	Run_32	Run_33	Run_34	Run_35	Run_36	Run_37	Run_38	Run_39	Run_40	Run_41	Run_42	Run_43	Run_44	Run_45	Run_46	Run_47	Run_48	Run_49	Run_50
b1	0.1692956	0.1686516	0.1682466	0.1698771	0.1697163	0.1697795	0.1688522	0.1686116	0.1693604	0.1688308	0.1697295	0.1692	0.1700379	0.1685876	0.1695631	0.1696082	0.1734164	0.1685787	0.1689752	0.1694734	0.1686755	0.1704352	0.1691793	0.1697356	0.1694083	0.1695378	0.1691858	0.1695557	0.1691252	0.1684286	0.1695844	0.1694679	0.169563	0.1687029	0.1697504	0.1698758	0.169948	0.1682217	0.1694841	0.1696653	0.1921349	0.1693798	0.1695692	0.1691916	0.1693601	0.170188	0.1696106	0.1651624	0.1694446	0.169943
b2	0.1883739	0.5751841	0.567836	0.6300126	0.1892224	0.1890082	0.6044267	0.5673606	0.6193374	0.5763248	0.1880992	0.1887721	0.1885274	0.5644605	0.1884096	0.1885891	0.7269092	0.6123234	0.5754601	0.1889874	0.5685765	0.6305366	0.5362384	0.1885391	0.5379138	0.1888663	0.1886884	0.1885517	0.1888441	0.5736405	0.1885905	0.1885392	0.1889469	0.574765	0.1889705	0.1884936	0.6305485	0.571871	0.1891643	0.1884052	0.2210287	0.1884674	0.1886753	0.1890037	0.1891241	0.6905675	0.1888441	0.6962144	0.1887125	0.6532938
b3	0.320598	1.005961	0.9818382	1.170749	0.3182669	0.3171523	1.069835	0.9784338	1.126864	1.005988	0.3236163	0.3186559	0.3200315	0.9719992	0.3191914	0.318435	1.788396	1.097983	1.005886	0.3190803	0.9843449	1.163687	0.9050524	0.3202022	0.9070011	0.3173302	0.3196018	0.3203188	0.3161985	0.9985224	0.3213385	0.3226266	0.3167258	1.00129	0.3176596	0.3211128	1.156655	0.9933252	0.3164428	0.3205191	0.4457907	0.321103	0.3196276	0.3184314	0.3171961	1.384975	0.320951	6.747007	0.3194298	1.219135
eta_deltaCB_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_deltaSC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eta_rhoC_pop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
omega_deltaSC	0.2486459	0.05356014	0.05481435	0.079097	0.266556	0.2556623	0.05032181	0.05790779	0.05825466	0.0336263	0.2345181	0.2674634	0.2508236	0.07421028	0.2536941	0.2607386	0.09412958	0.06970353	0.05926843	0.2593926	0.03921184	0.04768252	0.06203101	0.2534191	0.03214821	0.2625897	0.2597283	0.2511769	0.2709184	0.0407609	0.2436195	0.2475234	0.2740362	0.04131653	0.2676851	0.2517802	0.03813528	0.0473754	0.2747674	0.2505306	0.06286008	0.2578222	0.2581009	0.265761	0.2686103	0.1079688	0.2520864	1.739117	0.2560355	0.04608666
omega_rhoS	0.120884	0.1214041	0.1213613	0.1210397	0.1210799	0.121489	0.1202881	0.1211482	0.1219394	0.1208561	0.1212593	0.1206222	0.1213881	0.1207696	0.1208874	0.120764	0.117591	0.1209791	0.1215732	0.1210449	0.1219421	0.1208772	0.1210452	0.12089	0.1214881	0.1211047	0.1206762	0.120749	0.1201815	0.1214745	0.1210285	0.1202133	0.1205322	0.1210639	0.1209923	0.1214389	0.1213166	0.1215568	0.1209021	0.1214056	0.1337418	0.1205474	0.1209213	0.1205063	0.1209392	0.120512	0.1212397	0.1182716	0.1210584	0.1200562
rhoB_pop	0.2971481	-0.284108	-0.2558175	-0.4201524	0.2773601	0.2734396	-0.3333839	-0.2510983	-0.3837733	-0.2893417	0.2900967	0.2923104	0.2798469	-0.2405859	0.2913812	0.2909964	-0.8657659	-0.3555923	-0.282475	0.2892968	-0.2585856	-0.4214817	-0.1710708	0.290625	-0.1753072	0.2830419	0.2875748	0.2857134	0.2935656	-0.2772808	0.2962015	0.3004127	0.2956205	-0.2805845	0.2787233	0.282365	-0.4134306	-0.2677754	0.2902671	0.2837357	0.02221322	0.2919264	0.287561	0.2925328	0.286574	-0.5664848	0.2877845	0.1510325	0.2854296	-0.4617488
rhoC_pop	6.102105	2.051488	1.991818	2.260122	5.380506	5.422124	2.09815	1.980808	2.185274	2.074688	6.392153	5.918894	5.82072	1.954815	6.022893	5.878333	3.804413	2.139515	2.045812	5.586022	1.988208	2.27168	1.834609	6.003039	1.83606	5.675447	6.142607	6.039774	5.904955	2.03795	5.836278	6.621701	5.536599	2.04712	5.708337	6.019716	2.241594	2.012027	5.576853	5.989558	4.24064	6.288224	5.638601	5.849447	5.634557	2.450367	5.735325	0.6575075	5.74379	2.319849
rhoS_pop	0.6116523	0.6278343	0.6274144	0.6291324	0.6138452	0.6139635	0.6278807	0.6272077	0.6289394	0.6275003	0.6123028	0.6123492	0.6132723	0.6274278	0.6122334	0.612332	0.635479	0.6275703	0.6276114	0.6123919	0.6283382	0.6283287	0.6280847	0.6123163	0.6283639	0.6127786	0.6127577	0.6129204	0.6121491	0.6279704	0.6118541	0.6115412	0.6119426	0.6275382	0.6134841	0.6131722	0.6283419	0.6277253	0.6123028	0.6130892	0.6471974	0.6126278	0.6127113	0.6121199	0.612823	0.6296923	0.6124242	0.6244901	0.6128795	0.6286748
-2LL	1767.11	1856.84	1855.23	1866.55	1767.01	1767.03	1860.77	1855	1864.29	1857.13	1767.23	1766.99	1767.07	1854.42	1766.99	1767.02	1905.48	1862.65	1856.79	1766.95	1855.36	1866.64	1849.92	1767.11	1849.92	1767.04	1767.1	1766.91	1766.99	1856.33	1767.14	1767.16	1767.02	1856.54	1767.04	1767.09	1865.76	1855.84	1767.05	1767.07	1794.39	1767.11	1767.07	1767.01	1767.07	1876.02	1767.02	1912.68	1767.02	1868.72
